response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1799,0.0097,0.0000,0.0018,0.1683,0.0001,200,0.0034
0.1774,0.0027,0.0000,0.0005,0.1697,0.0000,200,0.0059
0.1772,0.0026,0.0000,0.0013,0.1682,0.0000,200,0.0061
0.1845,0.0042,0.0000,0.0007,0.1759,0.0000,200,0.0053
0.1854,0.0053,0.0000,0.0018,0.1752,0.0000,200,0.0047
0.1857,0.0051,0.0000,0.0017,0.1751,0.0003,200,0.0044
0.1848,0.0020,0.0000,0.0001,0.1782,0.0000,200,0.0054
0.1842,0.0023,0.0000,0.0013,0.1766,0.0000,200,0.0059
0.1853,0.0023,0.0000,0.0032,0.1752,0.0000,200,0.0048
0.1848,0.0041,0.0000,0.0005,0.1764,0.0002,200,0.0054
0.1861,0.0057,0.0000,0.0016,0.1759,0.0000,200,0.0042
0.1876,0.0036,0.0000,0.0005,0.1834,0.0000,200,0.0028
0.1852,0.0042,0.0000,0.0009,0.1764,0.0000,200,0.0053
0.1853,0.0038,0.0000,0.0004,0.1765,0.0000,200,0.0052
0.1854,0.0041,0.0000,0.0013,0.1756,0.0000,200,0.0052
0.1848,0.0021,0.0000,0.0030,0.1759,0.0000,200,0.0059
0.1855,0.0039,0.0000,0.0012,0.1758,0.0000,200,0.0052
0.1880,0.0035,0.0000,0.0006,0.1838,0.0000,200,0.0029
0.1878,0.0083,0.0000,0.0001,0.1793,0.0000,200,0.0034
0.1856,0.0028,0.0000,0.0006,0.1777,0.0000,200,0.0059
0.1858,0.0032,0.0000,0.0009,0.1773,0.0000,200,0.0057
0.1865,0.0038,0.0000,0.0005,0.1774,0.0000,200,0.0050
0.1925,0.0026,0.0000,0.0004,0.1849,0.0000,200,0.0058
0.2001,0.0038,0.0000,0.0011,0.1905,0.0000,200,0.0053
0.2083,0.0038,0.0000,0.0001,0.2011,0.0000,200,0.0046
0.2145,0.0038,0.0000,0.0006,0.2056,0.0000,200,0.0055
0.2235,0.0054,0.0000,0.0019,0.2125,0.0000,200,0.0040
0.2309,0.0054,0.0000,0.0009,0.2213,0.0000,200,0.0046
0.2380,0.0022,0.0000,0.0006,0.2299,0.0001,200,0.0062
0.2477,0.0059,0.0000,0.0017,0.2368,0.0000,200,0.0040
0.2545,0.0054,0.0000,0.0020,0.2436,0.0000,200,0.0043
0.2604,0.0021,0.0000,0.0001,0.2539,0.0000,200,0.0055
0.2674,0.0029,0.0000,0.0007,0.2592,0.0000,200,0.0057
0.2789,0.0022,0.0000,0.0004,0.2718,0.0001,200,0.0056
0.2874,0.0040,0.0000,0.0004,0.2784,0.0001,200,0.0044
0.2965,0.0048,0.0000,0.0016,0.2859,0.0001,200,0.0039
0.3020,0.0033,0.0000,0.0010,0.2940,0.0000,200,0.0054
0.3109,0.0051,0.0000,0.0017,0.3000,0.0001,200,0.0038
0.3163,0.0027,0.0000,0.0014,0.3072,0.0000,200,0.0061
0.3253,0.0050,0.0000,0.0016,0.3151,0.0000,200,0.0044
0.3327,0.0050,0.0000,0.0016,0.3227,0.0001,200,0.0047
0.3391,0.0019,0.0000,0.0029,0.3297,0.0001,200,0.0053
0.3489,0.0101,0.0000,0.0021,0.3362,0.0001,200,0.0027
0.3547,0.0040,0.0000,0.0015,0.3443,0.0001,200,0.0050
0.3644,0.0022,0.0000,0.0013,0.3565,0.0001,200,0.0056
0.3745,0.0022,0.0000,0.0037,0.3645,0.0000,200,0.0056
0.3836,0.0028,0.0000,0.0016,0.3743,0.0000,200,0.0061
0.3942,0.0031,0.0000,0.0004,0.3868,0.0000,200,0.0052
0.4047,0.0026,0.0000,0.0036,0.3941,0.0000,200,0.0048
0.4105,0.0055,0.0000,0.0022,0.3998,0.0000,200,0.0047
0.4171,0.0031,0.0000,0.0002,0.4100,0.0000,200,0.0053
0.4261,0.0097,0.0000,0.0023,0.4141,0.0000,200,0.0035
0.4312,0.0020,0.0000,0.0002,0.4247,0.0000,200,0.0058
0.4388,0.0022,0.0000,0.0013,0.4308,0.0000,200,0.0055
0.4457,0.0029,0.0000,0.0006,0.4376,0.0001,200,0.0058
0.4554,0.0032,0.0000,0.0021,0.4453,0.0000,200,0.0060
0.4608,0.0025,0.0000,0.0044,0.4503,0.0000,200,0.0057
0.4703,0.0060,0.0000,0.0027,0.4582,0.0000,200,0.0041
0.4766,0.0040,0.0000,0.0016,0.4660,0.0000,200,0.0049
0.4850,0.0062,0.0000,0.0027,0.4728,0.0000,200,0.0039
0.4909,0.0024,0.0000,0.0043,0.4804,0.0000,200,0.0058
0.4987,0.0059,0.0000,0.0006,0.4885,0.0000,200,0.0059
0.5068,0.0021,0.0000,0.0037,0.4971,0.0000,200,0.0059
0.5140,0.0023,0.0000,0.0043,0.5037,0.0000,200,0.0059
0.5225,0.0027,0.0000,0.0047,0.5111,0.0000,200,0.0051
0.5320,0.0098,0.0000,0.0027,0.5194,0.0000,200,0.0037
0.5383,0.0049,0.0000,0.0019,0.5279,0.0000,200,0.0055
0.5492,0.0103,0.0000,0.0031,0.5357,0.0000,200,0.0035
0.5558,0.0067,0.0000,0.0027,0.5436,0.0000,200,0.0039
0.5605,0.0069,0.0000,0.0027,0.5508,0.0000,200,0.0065
0.5701,0.0038,0.0000,0.0030,0.5598,0.0000,200,0.0045
0.5773,0.0058,0.0000,0.0006,0.5661,0.0001,200,0.0050
0.5824,0.0070,0.0000,0.0031,0.5723,0.0001,200,0.0069
0.5915,0.0024,0.0000,0.0040,0.5809,0.0001,200,0.0052
0.5990,0.0059,0.0000,0.0004,0.5881,0.0001,200,0.0049
0.6073,0.0063,0.0000,0.0030,0.5948,0.0001,200,0.0041
0.6146,0.0039,0.0000,0.0047,0.6015,0.0001,200,0.0041
0.6223,0.0076,0.0000,0.0025,0.6094,0.0001,200,0.0038
0.6274,0.0049,0.0000,0.0009,0.6170,0.0001,200,0.0060
0.6375,0.0107,0.0000,0.0019,0.6249,0.0001,200,0.0032
0.6444,0.0028,0.0000,0.0049,0.6320,0.0001,200,0.0046
0.6520,0.0058,0.0000,0.0025,0.6400,0.0001,200,0.0038
0.6595,0.0065,0.0000,0.0032,0.6465,0.0001,200,0.0040
0.6674,0.0101,0.0000,0.0028,0.6545,0.0001,200,0.0035
0.6732,0.0043,0.0000,0.0024,0.6627,0.0001,200,0.0060
0.6825,0.0078,0.0000,0.0023,0.6695,0.0001,200,0.0037
0.6876,0.0080,0.0000,0.0025,0.6769,0.0001,200,0.0062
0.6954,0.0049,0.0000,0.0008,0.6850,0.0001,200,0.0060
