response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0688,0.0009,0.0000,0.0004,0.0674,0.0001,200,0.0033
0.0722,0.0008,0.0000,0.0003,0.0711,0.0000,200,0.0044
0.0700,0.0007,0.0000,0.0003,0.0689,0.0001,200,0.0067
0.0734,0.0007,0.0000,0.0004,0.0722,0.0001,200,0.0034
0.0727,0.0010,0.0000,0.0006,0.0709,0.0002,200,0.0042
0.0739,0.0011,0.0000,0.0005,0.0720,0.0002,200,0.0031
0.0738,0.0011,0.0000,0.0005,0.0718,0.0003,200,0.0032
0.0736,0.0007,0.0000,0.0003,0.0725,0.0001,200,0.0034
0.0742,0.0010,0.0000,0.0004,0.0717,0.0006,200,0.0028
0.0726,0.0008,0.0000,0.0004,0.0713,0.0001,200,0.0044
0.0777,0.0010,0.0000,0.0005,0.0760,0.0001,200,0.0042
0.0833,0.0005,0.0000,0.0003,0.0823,0.0002,200,0.0046
0.0892,0.0015,0.0000,0.0007,0.0868,0.0000,200,0.0028
0.0917,0.0006,0.0000,0.0003,0.0907,0.0000,200,0.0054
0.0962,0.0006,0.0000,0.0004,0.0951,0.0001,200,0.0054
0.1047,0.0014,0.0000,0.0007,0.1025,0.0002,200,0.0029
0.1064,0.0008,0.0000,0.0005,0.1050,0.0001,200,0.0052
0.1096,0.0006,0.0000,0.0005,0.1083,0.0001,200,0.0068
0.1133,0.0018,0.0000,0.0005,0.1108,0.0002,200,0.0077
0.1193,0.0017,0.0000,0.0009,0.1167,0.0000,200,0.0059
0.1236,0.0016,0.0000,0.0008,0.1211,0.0000,200,0.0060
0.1278,0.0015,0.0000,0.0008,0.1255,0.0000,200,0.0061
0.1317,0.0013,0.0000,0.0007,0.1296,0.0000,200,0.0062
0.1360,0.0013,0.0000,0.0007,0.1340,0.0000,200,0.0063
0.1404,0.0011,0.0000,0.0007,0.1385,0.0001,200,0.0064
0.1456,0.0020,0.0000,0.0010,0.1425,0.0000,200,0.0056
0.1490,0.0008,0.0000,0.0006,0.1474,0.0001,200,0.0066
0.1542,0.0020,0.0000,0.0010,0.1511,0.0001,200,0.0056
0.1587,0.0018,0.0000,0.0009,0.1560,0.0000,200,0.0059
0.1625,0.0010,0.0000,0.0006,0.1607,0.0000,200,0.0064
0.1664,0.0016,0.0000,0.0004,0.1643,0.0000,200,0.0079
0.1721,0.0008,0.0000,0.0004,0.1709,0.0000,200,0.0087
0.1779,0.0015,0.0000,0.0003,0.1761,0.0001,200,0.0080
0.1821,0.0031,0.0000,0.0007,0.1781,0.0001,200,0.0082
0.1884,0.0020,0.0000,0.0007,0.1856,0.0001,200,0.0076
0.1931,0.0024,0.0000,0.0009,0.1898,0.0000,200,0.0072
0.1975,0.0023,0.0000,0.0008,0.1942,0.0001,200,0.0073
