response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0267,0.0023,0.0007,0.0004,0.0239,0.0001,200,0.0090
0.0275,0.0030,0.0013,0.0008,0.0236,0.0001,200,0.0083
0.0276,0.0023,0.0007,0.0005,0.0247,0.0000,200,0.0091
0.0416,0.0024,0.0012,0.0001,0.0388,0.0001,200,0.0081
0.0420,0.0025,0.0010,0.0002,0.0387,0.0004,200,0.0081
0.0428,0.0017,0.0005,0.0002,0.0409,0.0000,200,0.0088
0.0478,0.0032,0.0006,0.0005,0.0441,0.0001,200,0.0093
0.0504,0.0019,0.0006,0.0012,0.0472,0.0000,200,0.0088
0.0535,0.0026,0.0007,0.0010,0.0498,0.0000,200,0.0089
0.0623,0.0035,0.0007,0.0002,0.0585,0.0001,200,0.0092
0.0635,0.0031,0.0013,0.0011,0.0590,0.0000,200,0.0081
0.0633,0.0023,0.0006,0.0007,0.0602,0.0000,200,0.0091
0.0670,0.0030,0.0012,0.0010,0.0629,0.0001,200,0.0083
0.0751,0.0034,0.0007,0.0001,0.0716,0.0001,200,0.0092
0.0760,0.0025,0.0010,0.0005,0.0729,0.0000,200,0.0086
0.0779,0.0030,0.0013,0.0006,0.0742,0.0000,200,0.0084
0.0913,0.0030,0.0013,0.0008,0.0875,0.0000,200,0.0085
0.0914,0.0023,0.0007,0.0004,0.0886,0.0000,200,0.0091
0.0981,0.0031,0.0013,0.0009,0.0941,0.0001,200,0.0084
0.0984,0.0028,0.0013,0.0006,0.0949,0.0000,200,0.0084
0.0981,0.0024,0.0010,0.0004,0.0953,0.0000,200,0.0087
0.0999,0.0026,0.0008,0.0008,0.0965,0.0000,200,0.0089
0.1026,0.0023,0.0007,0.0007,0.0995,0.0000,200,0.0089
0.1069,0.0026,0.0008,0.0009,0.1033,0.0000,200,0.0089
0.1171,0.0027,0.0013,0.0005,0.1139,0.0000,200,0.0084
0.1329,0.0025,0.0007,0.0009,0.1295,0.0001,200,0.0089
