response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0176,0.0009,0.0000,0.0009,0.0157,0.0001,200,0.0038
0.0190,0.0012,0.0000,0.0005,0.0136,0.0037,200,0.0033
0.0217,0.0009,0.0000,0.0009,0.0197,0.0001,200,0.0038
0.0269,0.0004,0.0000,0.0007,0.0257,0.0001,200,0.0042
0.0307,0.0007,0.0000,0.0004,0.0295,0.0001,200,0.0038
0.0361,0.0007,0.0000,0.0008,0.0345,0.0001,200,0.0040
0.0398,0.0005,0.0000,0.0007,0.0385,0.0001,200,0.0041
0.0434,0.0006,0.0000,0.0008,0.0418,0.0002,200,0.0040
0.0494,0.0014,0.0000,0.0006,0.0466,0.0008,200,0.0031
0.0524,0.0013,0.0000,0.0005,0.0502,0.0002,200,0.0031
0.0574,0.0003,0.0000,0.0003,0.0567,0.0001,200,0.0045
0.0605,0.0001,0.0000,0.0002,0.0600,0.0002,200,0.0046
0.0645,0.0002,0.0000,0.0004,0.0638,0.0001,200,0.0043
0.0693,0.0011,0.0000,0.0003,0.0674,0.0001,200,0.0033
0.0750,0.0010,0.0000,0.0006,0.0733,0.0001,200,0.0036
0.0795,0.0007,0.0000,0.0003,0.0779,0.0004,200,0.0047
0.0914,0.0014,0.0000,0.0002,0.0896,0.0002,200,0.0034
0.0969,0.0006,0.0000,0.0004,0.0946,0.0004,200,0.0034
0.1010,0.0006,0.0000,0.0002,0.0999,0.0003,200,0.0049
0.1065,0.0009,0.0000,0.0006,0.1044,0.0002,200,0.0033
0.1093,0.0005,0.0000,0.0004,0.1083,0.0002,200,0.0044
0.1148,0.0012,0.0000,0.0003,0.1128,0.0004,200,0.0036
0.1174,0.0004,0.0000,0.0002,0.1167,0.0001,200,0.0050
0.1224,0.0012,0.0000,0.0004,0.1205,0.0003,200,0.0037
0.1239,0.0002,0.0000,0.0001,0.1235,0.0001,200,0.0055
0.1278,0.0003,0.0000,0.0002,0.1272,0.0001,200,0.0051
0.1313,0.0002,0.0000,0.0001,0.1308,0.0002,200,0.0052
0.1345,0.0003,0.0000,0.0019,0.1321,0.0002,200,0.0054
0.1388,0.0024,0.0000,0.0003,0.1357,0.0004,200,0.0056
0.1428,0.0002,0.0000,0.0023,0.1401,0.0002,200,0.0057
0.1490,0.0005,0.0000,0.0024,0.1457,0.0004,200,0.0053
0.1593,0.0047,0.0000,0.0002,0.1541,0.0003,200,0.0036
0.1633,0.0008,0.0000,0.0005,0.1618,0.0002,200,0.0075
0.1738,0.0009,0.0000,0.0007,0.1720,0.0001,200,0.0074
0.1756,0.0011,0.0000,0.0008,0.1728,0.0009,200,0.0073
0.1798,0.0013,0.0000,0.0008,0.1768,0.0009,200,0.0071
0.1874,0.0024,0.0000,0.0009,0.1813,0.0028,200,0.0060
0.1873,0.0015,0.0000,0.0010,0.1845,0.0002,200,0.0070
0.1942,0.0058,0.0000,0.0001,0.1880,0.0003,200,0.0037
0.1928,0.0005,0.0000,0.0004,0.1917,0.0003,200,0.0090
0.2013,0.0016,0.0000,0.0014,0.1970,0.0012,200,0.0069
0.2058,0.0011,0.0000,0.0004,0.2040,0.0002,200,0.0084
0.2115,0.0018,0.0000,0.0017,0.2075,0.0005,200,0.0067
0.2125,0.0005,0.0000,0.0003,0.2112,0.0004,200,0.0094
0.2193,0.0020,0.0000,0.0019,0.2152,0.0002,200,0.0066
0.2212,0.0006,0.0000,0.0001,0.2198,0.0006,200,0.0098
0.2246,0.0004,0.0000,0.0001,0.2238,0.0002,200,0.0102
0.2323,0.0021,0.0000,0.0021,0.2276,0.0005,200,0.0064
0.2368,0.0024,0.0000,0.0021,0.2321,0.0002,200,0.0063
0.2433,0.0027,0.0000,0.0018,0.2382,0.0005,200,0.0062
0.2472,0.0031,0.0000,0.0016,0.2423,0.0002,200,0.0061
0.2457,0.0032,0.0000,0.0029,0.2395,0.0001,200,0.0123
0.2559,0.0026,0.0000,0.0117,0.2415,0.0002,200,0.0059
0.2530,0.0081,0.0000,0.0001,0.2445,0.0003,200,0.0121
0.2603,0.0083,0.0000,0.0001,0.2516,0.0002,200,0.0120
0.2645,0.0084,0.0000,0.0002,0.2552,0.0007,200,0.0119
0.2685,0.0089,0.0000,0.0001,0.2592,0.0002,200,0.0116
0.2790,0.0129,0.0000,0.0001,0.2659,0.0001,200,0.0076
0.2800,0.0094,0.0000,0.0002,0.2701,0.0002,200,0.0111
0.2835,0.0103,0.0000,0.0000,0.2729,0.0003,200,0.0106
0.2870,0.0101,0.0000,0.0001,0.2766,0.0003,200,0.0109
0.2820,0.0019,0.0000,0.0021,0.2778,0.0003,200,0.0193
0.2860,0.0008,0.0000,0.0016,0.2829,0.0003,200,0.0199
0.2920,0.0015,0.0000,0.0019,0.2884,0.0002,200,0.0197
0.2967,0.0017,0.0000,0.0020,0.2925,0.0005,200,0.0195
0.2981,0.0014,0.0000,0.0003,0.2961,0.0002,200,0.0213
0.3124,0.0098,0.0000,0.0014,0.3009,0.0002,200,0.0113
0.3070,0.0013,0.0000,0.0003,0.3046,0.0006,200,0.0212
0.3175,0.0071,0.0000,0.0015,0.3087,0.0001,200,0.0140
0.3159,0.0010,0.0000,0.0002,0.3144,0.0001,200,0.0217
0.3232,0.0013,0.0000,0.0018,0.3170,0.0031,200,0.0198
0.3323,0.0000,0.0000,0.0000,0.3230,0.0001,200,0.0133
0.3359,0.0019,0.0000,0.0002,0.3332,0.0006,200,0.0208
0.3482,0.0063,0.0000,0.0040,0.3376,0.0001,200,0.0121
0.3441,0.0012,0.0000,0.0017,0.3411,0.0001,200,0.0200
0.3489,0.0037,0.0000,0.0001,0.3445,0.0002,200,0.0186
0.3597,0.0071,0.0000,0.0040,0.3483,0.0002,200,0.0114
0.3617,0.0055,0.0000,0.0039,0.3520,0.0001,200,0.0130
0.3639,0.0063,0.0000,0.0014,0.3559,0.0002,200,0.0147
0.3654,0.0027,0.0000,0.0024,0.3602,0.0001,200,0.0185
0.3657,0.0004,0.0000,0.0002,0.3650,0.0001,200,0.0223
0.3815,0.0000,0.0000,0.0000,0.3685,0.0001,200,0.0110
0.3788,0.0031,0.0000,0.0026,0.3724,0.0007,200,0.0184
0.3823,0.0030,0.0000,0.0026,0.3765,0.0001,200,0.0184
0.3877,0.0046,0.0000,0.0027,0.3801,0.0002,200,0.0168
0.3897,0.0032,0.0000,0.0029,0.3835,0.0001,200,0.0182
0.3938,0.0033,0.0000,0.0031,0.3873,0.0001,200,0.0182
0.3983,0.0036,0.0000,0.0031,0.3915,0.0001,200,0.0180
0.4018,0.0036,0.0000,0.0032,0.3949,0.0002,200,0.0180
0.4053,0.0036,0.0000,0.0032,0.3984,0.0001,200,0.0180
0.4089,0.0037,0.0000,0.0032,0.4018,0.0002,200,0.0179
0.4158,0.0066,0.0000,0.0032,0.4055,0.0004,200,0.0150
0.4160,0.0040,0.0000,0.0033,0.4087,0.0001,200,0.0177
0.4206,0.0041,0.0000,0.0033,0.4131,0.0001,200,0.0176
0.4268,0.0045,0.0000,0.0034,0.4188,0.0001,200,0.0173
0.4299,0.0042,0.0000,0.0033,0.4224,0.0001,200,0.0176
0.4336,0.0043,0.0000,0.0035,0.4256,0.0002,200,0.0175
0.4374,0.0044,0.0000,0.0037,0.4291,0.0002,200,0.0174
0.4412,0.0046,0.0000,0.0039,0.4325,0.0002,200,0.0172
0.4453,0.0048,0.0000,0.0040,0.4360,0.0005,200,0.0170
0.4488,0.0047,0.0000,0.0043,0.4395,0.0002,200,0.0171
0.4531,0.0049,0.0000,0.0046,0.4430,0.0007,200,0.0170
0.4472,0.0034,0.0000,0.0012,0.4424,0.0002,200,0.0259
0.4505,0.0030,0.0000,0.0011,0.4462,0.0002,200,0.0263
0.4550,0.0037,0.0000,0.0012,0.4495,0.0006,200,0.0257
0.4577,0.0032,0.0000,0.0012,0.4531,0.0002,200,0.0260
0.4723,0.0000,0.0000,0.0083,0.4563,0.0002,200,0.0149
0.4739,0.0054,0.0000,0.0073,0.4609,0.0003,200,0.0166
0.4778,0.0063,0.0000,0.0068,0.4644,0.0002,200,0.0159
0.4854,0.0086,0.0000,0.0071,0.4695,0.0001,200,0.0137
0.4877,0.0065,0.0000,0.0069,0.4742,0.0001,200,0.0157
0.4936,0.0077,0.0000,0.0071,0.4787,0.0001,200,0.0146
0.4881,0.0036,0.0000,0.0020,0.4824,0.0001,200,0.0235
0.4986,0.0050,0.0000,0.0075,0.4859,0.0002,200,0.0169
0.5059,0.0090,0.0000,0.0072,0.4896,0.0002,200,0.0133
