response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1560,0.0006,0.0000,0.0002,0.1544,0.0008,200,0.0042
0.1638,0.0005,0.0000,0.0002,0.1547,0.0084,200,0.0042
0.2490,0.0037,0.0000,0.0017,0.2341,0.0010,200,0.0047
0.2521,0.0008,0.0000,0.0018,0.2374,0.0007,200,0.0047
0.2834,0.0037,0.0000,0.0018,0.2363,0.0331,200,0.0047
0.0842,0.0000,0.0000,0.0000,0.0837,0.0005,200,0.2881
0.3681,0.0017,0.0000,0.0025,0.3523,0.0009,200,0.0047
0.3695,0.0186,0.0000,0.0004,0.3429,0.0016,200,0.0047
0.3816,0.0022,0.0000,0.0028,0.3571,0.0091,200,0.0047
0.3824,0.0079,0.0000,0.0024,0.3664,0.0010,200,0.0047
0.4070,0.0039,0.0000,0.0035,0.3894,0.0009,200,0.0047
0.4278,0.0013,0.0000,0.0021,0.4122,0.0012,200,0.0047
0.4282,0.0011,0.0000,0.0020,0.4124,0.0016,200,0.0047
0.4284,0.0071,0.0000,0.0033,0.4105,0.0015,200,0.0047
0.4288,0.0044,0.0000,0.0022,0.4129,0.0013,200,0.0047
0.4289,0.0076,0.0000,0.0021,0.4127,0.0016,200,0.0047
0.4335,0.0039,0.0000,0.0034,0.4159,0.0012,200,0.0047
0.4533,0.0014,0.0000,0.0022,0.4321,0.0067,200,0.0047
0.4537,0.0032,0.0000,0.0001,0.4281,0.0065,200,0.0047
0.4551,0.0096,0.0000,0.0034,0.4356,0.0030,200,0.0047
0.6629,0.0025,0.0000,0.0023,0.6443,0.0008,200,0.0047
0.6963,0.0016,0.0000,0.0023,0.6804,0.0011,200,0.0047
0.6974,0.0009,0.0000,0.0002,0.6954,0.0008,200,0.0039
0.7178,0.0106,0.0000,0.0038,0.6896,0.0108,200,0.0047
0.7419,0.0041,0.0000,0.0020,0.7264,0.0011,200,0.0047
0.7419,0.0010,0.0000,0.0019,0.7267,0.0011,200,0.0047
0.0893,0.0000,0.0000,0.0000,0.0886,0.0007,200,0.6676
0.7523,0.0068,0.0000,0.0032,0.7348,0.0012,200,0.0047
0.7526,0.0050,0.0000,0.0025,0.7359,0.0016,200,0.0047
0.7531,0.0101,0.0000,0.0037,0.7337,0.0023,200,0.0047
0.7765,0.0010,0.0000,0.0019,0.7379,0.0245,200,0.0047
0.7771,0.0049,0.0000,0.0042,0.7581,0.0012,200,0.0047
