response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0990,0.0007,0.0000,0.0004,0.0926,0.0052,200,0.0077
0.0990,0.0005,0.0000,0.0000,0.0970,0.0014,200,0.0084
0.1015,0.0018,0.0000,0.0010,0.0971,0.0016,200,0.0066
0.1418,0.0006,0.0000,0.0002,0.1381,0.0029,200,0.0076
0.1402,0.0007,0.0000,0.0002,0.1362,0.0030,200,0.0094
0.1420,0.0005,0.0000,0.0002,0.1381,0.0031,200,0.0076
0.1426,0.0008,0.0000,0.0005,0.1375,0.0037,200,0.0076
0.1668,0.0007,0.0000,0.0025,0.1627,0.0009,200,0.0074
0.2006,0.0006,0.0000,0.0000,0.1983,0.0017,200,0.0113
0.2070,0.0043,0.0000,0.0026,0.1984,0.0017,200,0.0050
0.2186,0.0033,0.0000,0.0020,0.2103,0.0030,200,0.0056
0.2210,0.0058,0.0000,0.0011,0.2127,0.0014,200,0.0040
0.2188,0.0022,0.0000,0.0011,0.2139,0.0016,200,0.0064
0.2390,0.0046,0.0000,0.0034,0.2300,0.0011,200,0.0048
0.1416,0.0000,0.0000,0.0000,0.1410,0.0005,200,0.1067
0.2569,0.0009,0.0000,0.0000,0.2481,0.0078,200,0.0081
0.2919,0.0022,0.0000,0.0012,0.2866,0.0018,200,0.0063
0.2960,0.0067,0.0000,0.0017,0.2835,0.0040,200,0.0034
0.3639,0.0006,0.0000,0.0002,0.3616,0.0014,200,0.0080
0.2343,0.0000,0.0000,0.0000,0.2210,0.0133,200,0.1494
0.3735,0.0012,0.0000,0.0001,0.3709,0.0013,200,0.0114
0.3892,0.0062,0.0000,0.0013,0.3804,0.0013,200,0.0037
0.2567,0.0000,0.0000,0.0000,0.2421,0.0146,200,0.1496
0.2235,0.0000,0.0000,0.0000,0.2228,0.0006,200,0.2438
0.4754,0.0025,0.0000,0.0013,0.4699,0.0017,200,0.0063
0.4805,0.0054,0.0000,0.0026,0.4680,0.0045,200,0.0042
0.2216,0.0000,0.0000,0.0000,0.2203,0.0013,200,0.2650
0.5135,0.0047,0.0000,0.0026,0.4939,0.0124,200,0.0047
0.5144,0.0016,0.0000,0.0009,0.5086,0.0033,200,0.0068
0.5209,0.0075,0.0000,0.0019,0.5103,0.0012,200,0.0027
0.5662,0.0077,0.0000,0.0022,0.5454,0.0108,200,0.0026
0.5663,0.0043,0.0000,0.0032,0.5578,0.0010,200,0.0050
0.2246,0.0000,0.0000,0.0000,0.1982,0.0264,200,0.3719
0.6158,0.0047,0.0000,0.0026,0.5841,0.0244,200,0.0047
0.6179,0.0076,0.0000,0.0021,0.5836,0.0245,200,0.0026
0.1424,0.0000,0.0000,0.0000,0.1415,0.0009,200,0.5212
0.6866,0.0038,0.0000,0.0023,0.6788,0.0017,200,0.0053
0.2286,0.0000,0.0000,0.0000,0.2279,0.0006,200,0.4817
0.7181,0.0051,0.0000,0.0025,0.7095,0.0010,200,0.0045
0.2395,0.0000,0.0000,0.0000,0.2385,0.0010,200,0.4847
0.7508,0.0029,0.0000,0.0017,0.7450,0.0012,200,0.0059
0.7535,0.0055,0.0000,0.0031,0.7431,0.0017,200,0.0042
0.7509,0.0008,0.0000,0.0026,0.7456,0.0018,200,0.0073
0.7592,0.0009,0.0000,0.0026,0.7541,0.0016,200,0.0072
0.7597,0.0017,0.0000,0.0009,0.7556,0.0014,200,0.0067
0.4677,0.0000,0.0000,0.0000,0.4656,0.0020,200,0.2994
0.2813,0.0000,0.0000,0.0000,0.2804,0.0009,200,0.4866
0.7603,0.0005,0.0000,0.0002,0.7584,0.0012,200,0.0078
0.2520,0.0000,0.0000,0.0000,0.2373,0.0146,200,0.5183
0.1994,0.0000,0.0000,0.0000,0.1987,0.0007,200,0.5713
0.7682,0.0014,0.0000,0.0041,0.7616,0.0011,200,0.0069
0.7801,0.0022,0.0000,0.0012,0.7752,0.0015,200,0.0064
0.7803,0.0007,0.0000,0.0004,0.7770,0.0022,200,0.0077
0.8520,0.0037,0.0000,0.0022,0.8011,0.0450,200,0.0054
0.8724,0.0063,0.0000,0.0014,0.8012,0.0635,200,0.0037
0.9044,0.0020,0.0000,0.0011,0.8141,0.0872,200,0.0065
0.9052,0.0030,0.0000,0.0018,0.8362,0.0640,200,0.0058
0.9031,0.0007,0.0000,0.0002,0.8381,0.0640,200,0.0080
0.9003,0.0008,0.0000,0.0001,0.8119,0.0874,200,0.0108
0.9075,0.0064,0.0000,0.0015,0.7748,0.1248,200,0.0036
0.9080,0.0049,0.0000,0.0029,0.8990,0.0012,200,0.0046
0.9230,0.0041,0.0000,0.0025,0.9153,0.0011,200,0.0051
0.9283,0.0014,0.0000,0.0003,0.8384,0.0882,200,0.0070
0.9308,0.0036,0.0000,0.0022,0.9240,0.0010,200,0.0055
0.4969,0.0000,0.0000,0.0000,0.3846,0.1122,200,0.4673
0.3684,0.0000,0.0000,0.0000,0.3676,0.0008,200,0.5965
0.9643,0.0067,0.0000,0.0017,0.9521,0.0037,200,0.0034
0.9621,0.0032,0.0000,0.0019,0.9536,0.0033,200,0.0057
0.9622,0.0031,0.0000,0.0019,0.9542,0.0030,200,0.0058
0.9608,0.0008,0.0000,0.0003,0.9567,0.0031,200,0.0075
0.2462,0.0000,0.0000,0.0000,0.2415,0.0047,200,0.7226
0.9628,0.0027,0.0000,0.0015,0.9537,0.0049,200,0.0060
0.3514,0.0000,0.0000,0.0000,0.3445,0.0068,200,0.6205
0.4483,0.0000,0.0000,0.0000,0.4043,0.0439,200,0.5237
0.9659,0.0011,0.0000,0.0039,0.9586,0.0022,200,0.0070
0.9694,0.0064,0.0000,0.0015,0.9591,0.0024,200,0.0036
0.2070,0.0000,0.0000,0.0000,0.2061,0.0009,200,0.7664
0.9778,0.0007,0.0000,0.0003,0.7777,0.1991,200,0.0077
0.7533,0.0000,0.0000,0.0000,0.7519,0.0014,200,0.2482
0.6176,0.0000,0.0000,0.0000,0.6167,0.0009,200,0.3849
0.2716,0.0000,0.0000,0.0000,0.2572,0.0143,200,0.7682
0.2695,0.0000,0.0000,0.0000,0.2687,0.0008,200,0.7707
1.0366,0.0061,0.0000,0.0011,1.0112,0.0182,200,0.0037
1.0381,0.0073,0.0000,0.0021,1.0270,0.0017,200,0.0030
1.0390,0.0075,0.0000,0.0021,1.0271,0.0023,200,0.0028
0.2904,0.0000,0.0000,0.0000,0.2899,0.0005,200,0.7702
1.0583,0.0035,0.0000,0.0021,1.0513,0.0014,200,0.0055
1.0828,0.0045,0.0000,0.0034,1.0735,0.0014,200,0.0048
1.0850,0.0073,0.0000,0.0018,1.0741,0.0018,200,0.0029
0.3174,0.0000,0.0000,0.0000,0.3153,0.0021,200,0.7865
0.4404,0.0000,0.0000,0.0000,0.2634,0.1769,200,0.6636
0.4836,0.0000,0.0000,0.0000,0.4813,0.0022,200,0.6205
1.0971,0.0013,0.0000,0.0040,1.0895,0.0023,200,0.0070
0.7112,0.0000,0.0000,0.0000,0.7095,0.0016,200,0.3930
1.1288,0.0027,0.0000,0.0015,0.8405,0.2840,200,0.0060
1.1314,0.0062,0.0000,0.0014,0.8398,0.2840,200,0.0037
1.1326,0.0073,0.0000,0.0018,0.8393,0.2842,200,0.0029
0.2258,0.0000,0.0000,0.0000,0.2241,0.0017,200,0.9110
0.3792,0.0000,0.0000,0.0000,0.3780,0.0012,200,0.7581
1.1344,0.0060,0.0000,0.0012,1.1244,0.0027,200,0.0039
1.1697,0.0060,0.0000,0.0012,1.1616,0.0009,200,0.0039
0.1515,0.0000,0.0000,0.0000,0.1505,0.0010,200,1.0418
0.1922,0.0000,0.0000,0.0000,0.1916,0.0005,200,1.0015
0.2828,0.0000,0.0000,0.0000,0.2817,0.0011,200,0.9111
0.3057,0.0000,0.0000,0.0000,0.2911,0.0147,200,0.9126
0.2515,0.0000,0.0000,0.0000,0.2502,0.0013,200,0.9678
0.3721,0.0000,0.0000,0.0000,0.3715,0.0006,200,0.8574
1.2411,0.0055,0.0000,0.0010,1.2334,0.0012,200,0.0042
1.2590,0.0028,0.0000,0.0016,1.2336,0.0210,200,0.0060
0.2119,0.0000,0.0000,0.0000,0.2015,0.0104,200,1.0638
1.3160,0.0061,0.0000,0.0013,1.2788,0.0298,200,0.0038
0.1847,0.0000,0.0000,0.0000,0.1553,0.0294,200,1.1351
0.1301,0.0000,0.0000,0.0000,0.0961,0.0341,200,1.1939
0.1508,0.0000,0.0000,0.0000,0.1494,0.0014,200,1.1735
0.1898,0.0000,0.0000,0.0000,0.1879,0.0019,200,1.1349
1.3151,0.0008,0.0000,0.0001,1.3125,0.0017,200,0.0097
1.3158,0.0010,0.0000,0.0003,1.3123,0.0022,200,0.0091
1.3184,0.0020,0.0000,0.0010,1.3136,0.0017,200,0.0066
1.3151,0.0007,0.0000,0.0001,1.3091,0.0053,200,0.0098
0.7595,0.0000,0.0000,0.0000,0.7580,0.0014,200,0.5688
0.6367,0.0000,0.0000,0.0000,0.6352,0.0015,200,0.6919
1.3417,0.0044,0.0000,0.0026,1.3318,0.0029,200,0.0048
1.3532,0.0030,0.0000,0.0018,1.3468,0.0016,200,0.0059
1.3530,0.0019,0.0000,0.0010,1.3483,0.0017,200,0.0066
0.1711,0.0000,0.0000,0.0000,0.1699,0.0012,200,1.1933
0.1305,0.0000,0.0000,0.0000,0.1181,0.0123,200,1.2453
1.1696,0.0000,0.0000,0.0000,1.1673,0.0022,200,0.2119
1.3762,0.0026,0.0000,0.0015,1.3700,0.0021,200,0.0061
1.2334,0.0000,0.0000,0.0000,1.2307,0.0027,200,0.1496
1.3795,0.0051,0.0000,0.0001,1.3635,0.0108,200,0.0035
0.1638,0.0000,0.0000,0.0000,0.1622,0.0016,200,1.2192
1.3772,0.0018,0.0000,0.0010,1.3726,0.0018,200,0.0067
1.3811,0.0068,0.0000,0.0017,1.3700,0.0021,200,0.0029
0.1909,0.0000,0.0000,0.0000,0.1903,0.0007,200,1.1937
1.1636,0.0000,0.0000,0.0000,1.1607,0.0030,200,0.2251
1.3817,0.0005,0.0000,0.0024,1.3755,0.0032,200,0.0075
1.3857,0.0066,0.0000,0.0017,1.3738,0.0036,200,0.0035
1.3841,0.0040,0.0000,0.0000,1.3763,0.0037,200,0.0051
1.1691,0.0000,0.0000,0.0000,1.1680,0.0011,200,0.2252
1.4180,0.0070,0.0000,0.0020,1.4074,0.0013,200,0.0031
1.4291,0.0009,0.0000,0.0003,1.4269,0.0010,200,0.0073
1.2508,0.0000,0.0000,0.0000,1.2494,0.0014,200,0.2120
1.4562,0.0015,0.0000,0.0041,1.4492,0.0014,200,0.0068
1.2891,0.0000,0.0000,0.0000,1.2877,0.0014,200,0.1742
1.5027,0.0049,0.0000,0.0031,1.4917,0.0030,200,0.0046
0.2783,0.0000,0.0000,0.0000,0.2748,0.0034,200,1.2295
0.2336,0.0000,0.0000,0.0000,0.2328,0.0008,200,1.2757
1.3593,0.0000,0.0000,0.0000,1.3551,0.0042,200,0.1502
