response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0531,0.0026,0.0000,0.0010,0.0493,0.0001,200,0.0055
0.0603,0.0023,0.0000,0.0005,0.0575,0.0001,200,0.0057
0.0739,0.0025,0.0000,0.0007,0.0707,0.0001,200,0.0056
0.1985,0.0063,0.0000,0.0001,0.1921,0.0001,200,0.0048
0.2369,0.0077,0.0000,0.0029,0.2263,0.0001,200,0.0177
0.2530,0.0006,0.0000,0.0001,0.2515,0.0001,200,0.0114
0.3104,0.0023,0.0000,0.0006,0.3074,0.0001,200,0.0057
0.3068,0.0096,0.0000,0.0007,0.2908,0.0000,200,0.0129
0.3559,0.0027,0.0000,0.0100,0.3431,0.0001,200,0.0054
0.3750,0.0081,0.0000,0.0035,0.3516,0.0001,200,0.0059
0.1777,0.0000,0.0000,0.0000,0.1777,0.0000,200,0.2033
0.3851,0.0091,0.0000,0.0003,0.3672,0.0001,200,0.0100
0.4168,0.0095,0.0000,0.0006,0.4009,0.0001,200,0.0129
0.4216,0.0116,0.0000,0.0018,0.4081,0.0001,200,0.0179
0.4330,0.0084,0.0000,0.0028,0.4116,0.0000,200,0.0067
0.4445,0.0088,0.0000,0.0040,0.4217,0.0002,200,0.0076
0.4349,0.0090,0.0000,0.0041,0.4218,0.0000,200,0.0172
0.4424,0.0091,0.0000,0.0007,0.4239,0.0001,200,0.0098
0.4446,0.0087,0.0000,0.0039,0.4222,0.0000,200,0.0076
0.4584,0.0117,0.0000,0.0005,0.4439,0.0001,200,0.0056
0.4562,0.0116,0.0000,0.0020,0.4325,0.0001,200,0.0079
0.3846,0.0000,0.0000,0.0000,0.3845,0.0001,200,0.0795
0.4588,0.0231,0.0000,0.0009,0.4347,0.0000,200,0.0054
0.4516,0.0109,0.0000,0.0006,0.4346,0.0000,200,0.0131
0.4584,0.0073,0.0000,0.0024,0.4372,0.0000,200,0.0065
0.4614,0.0050,0.0000,0.0014,0.4549,0.0000,200,0.0146
0.2214,0.0000,0.0000,0.0000,0.2213,0.0001,200,0.2547
0.4664,0.0093,0.0000,0.0010,0.4474,0.0002,200,0.0097
0.4824,0.0093,0.0000,0.0043,0.4590,0.0001,200,0.0074
0.4769,0.0094,0.0000,0.0005,0.4612,0.0000,200,0.0130
0.4787,0.0105,0.0000,0.0027,0.4654,0.0001,200,0.0181
0.5543,0.0103,0.0000,0.0026,0.5413,0.0001,200,0.0182
0.3083,0.0000,0.0000,0.0000,0.3082,0.0000,200,0.2643
0.1816,0.0000,0.0000,0.0000,0.1814,0.0001,200,0.3951
0.2154,0.0000,0.0000,0.0000,0.2153,0.0000,200,0.3613
0.5584,0.0091,0.0000,0.0005,0.5488,0.0000,200,0.0184
0.1247,0.0000,0.0000,0.0000,0.1246,0.0000,200,0.4522
0.1959,0.0000,0.0000,0.0000,0.1958,0.0000,200,0.3810
0.2608,0.0000,0.0000,0.0001,0.2607,0.0000,200,0.3162
0.1250,0.0000,0.0000,0.0000,0.1249,0.0000,200,0.4521
0.2837,0.0000,0.0000,0.0000,0.2836,0.0001,200,0.3197
0.1641,0.0000,0.0000,0.0000,0.1640,0.0000,200,0.4396
0.2079,0.0000,0.0000,0.0000,0.2079,0.0001,200,0.4397
