response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0466,0.0010,0.0000,0.0001,0.0449,0.0001,200,0.0026
0.0509,0.0011,0.0000,0.0003,0.0492,0.0001,200,0.0027
0.0609,0.0011,0.0000,0.0003,0.0593,0.0001,200,0.0028
0.0640,0.0011,0.0000,0.0003,0.0625,0.0001,200,0.0027
0.0654,0.0010,0.0000,0.0003,0.0637,0.0001,200,0.0025
0.0706,0.0008,0.0000,0.0001,0.0692,0.0001,200,0.0026
0.0742,0.0008,0.0000,0.0001,0.0728,0.0000,200,0.0026
0.0842,0.0011,0.0000,0.0002,0.0827,0.0001,200,0.0026
0.0426,0.0000,0.0000,0.0000,0.0425,0.0000,200,0.0492
0.0892,0.0013,0.0000,0.0001,0.0875,0.0001,200,0.0025
0.0940,0.0011,0.0000,0.0001,0.0926,0.0000,200,0.0025
0.0491,0.0000,0.0000,0.0000,0.0490,0.0000,200,0.0536
0.0567,0.0000,0.0000,0.0000,0.0566,0.0001,200,0.0637
0.0564,0.0000,0.0000,0.0000,0.0564,0.0000,200,0.0679
0.0483,0.0000,0.0000,0.0000,0.0483,0.0000,200,0.0868
0.0744,0.0000,0.0000,0.0000,0.0743,0.0000,200,0.0667
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,0.0732
0.0526,0.0000,0.0000,0.0000,0.0525,0.0000,200,0.0918
0.0727,0.0000,0.0000,0.0000,0.0726,0.0000,200,0.0768
0.0644,0.0000,0.0000,0.0000,0.0643,0.0000,200,0.0917
0.0615,0.0000,0.0000,0.0000,0.0615,0.0000,200,0.0964
0.0499,0.0000,0.0000,0.0000,0.0498,0.0000,200,0.1204
0.0834,0.0000,0.0000,0.0000,0.0833,0.0001,200,0.1027
0.0587,0.0000,0.0000,0.0000,0.0586,0.0001,200,0.1410
0.0662,0.0000,0.0000,0.0000,0.0661,0.0001,200,0.1417
0.0854,0.0000,0.0000,0.0000,0.0853,0.0000,200,0.1244
0.0656,0.0000,0.0000,0.0000,0.0656,0.0000,200,0.1443
0.0840,0.0000,0.0000,0.0000,0.0839,0.0000,200,0.1352
0.0697,0.0000,0.0000,0.0000,0.0696,0.0001,200,0.1495
0.0619,0.0000,0.0000,0.0000,0.0617,0.0001,200,0.1703
0.0750,0.0000,0.0000,0.0000,0.0750,0.0000,200,0.1580
0.0920,0.0000,0.0000,0.0000,0.0919,0.0001,200,0.1561
0.0440,0.0000,0.0000,0.0000,0.0439,0.0001,200,0.2079
