response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.3125,0.0711,0.0000,0.0041,5.2371,0.0001,200,0.0195
14.4577,0.0709,0.0000,0.0038,14.3829,0.0001,200,0.0197
18.9383,0.0789,0.0000,0.0029,18.8565,0.0001,200,0.0109
19.2366,0.0781,0.0000,0.0025,19.1560,0.0001,200,0.0114
19.7261,0.0790,0.0000,0.0030,19.6440,0.0001,200,0.0107
19.7164,0.0695,0.0000,0.0031,19.6438,0.0000,200,0.0205
19.9417,0.0414,0.0000,0.0029,19.8974,0.0001,200,0.0521
19.9970,0.0779,0.0000,0.0024,19.9167,0.0000,200,0.0116
15.6367,0.0018,0.0000,0.0006,15.6342,0.0001,200,40.0497
16.7289,0.0018,0.0000,0.0006,16.7263,0.0001,200,40.0486
17.0927,0.0151,0.0000,0.0000,17.0775,0.0001,200,40.0968
17.1356,1.0308,0.0000,0.0001,16.1048,0.0000,200,40.0540
17.9530,0.0087,0.0000,0.0007,17.9435,0.0001,200,40.0508
17.9503,0.0019,0.0000,0.0054,17.9430,0.0000,200,40.0605
18.3427,0.0006,0.0000,0.0001,18.3420,0.0001,200,40.0464
18.5951,0.0013,0.0000,0.0003,18.5934,0.0001,200,40.0490
18.7358,0.0009,0.0000,0.0004,18.7343,0.0001,200,40.0513
19.0590,0.0007,0.0000,0.0003,19.0578,0.0001,200,40.0470
19.3095,0.0024,0.0000,0.0004,19.3067,0.0001,500,60.0624
19.3130,0.0026,0.0000,0.0012,19.3091,0.0000,500,60.0591
19.3090,0.0023,0.0000,0.0002,19.3065,0.0000,500,60.0631
19.3130,0.0026,0.0000,0.0005,19.3099,0.0000,500,60.0591
19.2781,0.0115,0.0000,0.0115,19.2551,0.0000,500,60.0941
19.2566,0.0141,0.0000,0.0025,19.2401,0.0000,500,60.1156
19.2531,0.0146,0.0000,0.0001,19.2384,0.0000,500,60.1191
19.3135,0.0029,0.0000,0.0022,19.3083,0.0000,500,60.0588
19.3133,0.0027,0.0000,0.0022,19.3083,0.0000,500,60.0590
19.2660,0.0126,0.0000,0.0023,19.2510,0.0000,500,60.1065
19.2564,0.0146,0.0000,0.0007,19.2411,0.0000,500,60.1162
19.3062,0.0011,0.0000,0.0001,19.3050,0.0000,500,60.0665
19.3434,0.0027,0.0000,0.0001,19.3406,0.0000,500,60.0294
19.2732,0.0027,0.0000,0.0070,19.2636,0.0000,500,60.0996
19.2558,0.0182,0.0000,0.0001,19.2374,0.0000,500,60.1170
19.2787,0.0114,0.0000,0.0114,19.2559,0.0000,500,60.0942
19.2779,0.0092,0.0000,0.0108,19.2579,0.0000,500,60.0951
19.2776,0.0185,0.0000,0.0042,19.2548,0.0000,500,60.0955
19.2772,0.0222,0.0000,0.0002,19.2548,0.0000,500,60.0960
19.3221,0.0020,0.0000,0.0011,19.3189,0.0000,500,60.0512
19.2476,0.0154,0.0000,0.0003,19.2319,0.0000,500,60.1257
19.2533,0.0153,0.0000,0.0000,19.2380,0.0000,500,60.1200
19.3200,0.0028,0.0000,0.0011,19.3160,0.0000,500,60.0534
19.2742,0.0031,0.0000,0.0071,19.2639,0.0000,500,60.0992
19.2733,0.0105,0.0000,0.0197,19.2431,0.0000,500,60.1002
19.2614,0.0146,0.0000,0.0028,19.2440,0.0000,500,60.1123
19.3153,0.0059,0.0000,0.0000,19.3093,0.0000,500,60.0584
19.2576,0.0147,0.0000,0.0007,19.2422,0.0000,500,60.1161
19.2836,0.0004,0.0000,0.0000,19.2831,0.0000,500,60.0902
19.2710,0.0150,0.0000,0.0004,19.2555,0.0000,500,60.1028
19.3147,0.0032,0.0000,0.0005,19.3110,0.0000,500,60.0592
19.3203,0.0027,0.0000,0.0015,19.3161,0.0000,500,60.0536
19.2567,0.0141,0.0000,0.0002,19.2423,0.0000,500,60.1175
19.3173,0.0049,0.0000,0.0023,19.3100,0.0001,500,60.0572
19.2794,0.0073,0.0000,0.0081,19.2640,0.0000,500,60.0953
19.3168,0.0039,0.0000,0.0023,19.3106,0.0000,500,60.0583
19.3171,0.0029,0.0000,0.0002,19.3140,0.0000,500,60.0583
19.3252,0.0060,0.0000,0.0014,19.3177,0.0000,500,60.0504
19.3178,0.0030,0.0000,0.0005,19.3142,0.0000,500,60.0581
19.2773,0.0201,0.0000,0.0024,19.2548,0.0000,500,60.0987
19.3185,0.0046,0.0000,0.0000,19.3139,0.0000,500,60.0581
19.3185,0.0031,0.0000,0.0010,19.3144,0.0000,500,60.0582
19.2617,0.0119,0.0000,0.0006,19.2492,0.0000,500,60.1151
19.2673,0.0172,0.0000,0.0028,19.2473,0.0000,500,60.1096
19.2580,0.0146,0.0000,0.0001,19.2434,0.0000,500,60.1190
19.3191,0.0031,0.0000,0.0007,19.3152,0.0000,500,60.0580
19.2742,0.0102,0.0000,0.0047,19.2592,0.0001,500,60.1031
19.3193,0.0030,0.0000,0.0002,19.3161,0.0000,500,60.0580
19.3180,0.0030,0.0000,0.0004,19.3147,0.0000,500,60.0593
19.2571,0.0145,0.0000,0.0001,19.2424,0.0000,500,60.1209
19.2612,0.0139,0.0000,0.0005,19.2468,0.0000,500,60.1167
19.2657,0.0145,0.0000,0.0028,19.2484,0.0000,500,60.1123
19.3247,0.0030,0.0000,0.0012,19.3206,0.0000,500,60.0533
19.3470,0.0016,0.0000,0.0003,19.3451,0.0000,500,60.0310
19.3128,0.0013,0.0000,0.0000,19.3114,0.0000,500,60.0653
19.2802,0.0289,0.0000,0.0028,19.2485,0.0000,500,60.0979
19.3313,0.0006,0.0000,0.0002,19.3305,0.0000,500,60.0468
19.2772,0.0179,0.0000,0.0024,19.2568,0.0000,500,60.1010
19.3183,0.0022,0.0000,0.0001,19.3159,0.0000,500,60.0626
19.2632,0.0150,0.0000,0.0003,19.2479,0.0000,500,60.1177
19.2739,0.0118,0.0000,0.0022,19.2598,0.0000,500,60.1070
19.3500,0.0017,0.0000,0.0002,19.3481,0.0000,500,60.0310
19.3198,0.0029,0.0000,0.0001,19.3168,0.0000,500,60.0613
19.2788,0.0160,0.0000,0.0017,19.2610,0.0000,500,60.1024
19.3501,0.0014,0.0000,0.0003,19.3484,0.0000,500,60.0311
19.3220,0.0029,0.0000,0.0003,19.3188,0.0000,500,60.0594
19.3237,0.0031,0.0000,0.0001,19.3205,0.0000,500,60.0577
19.3238,0.0041,0.0000,0.0001,19.3196,0.0000,500,60.0577
19.3305,0.0023,0.0000,0.0012,19.3270,0.0000,500,60.0510
19.3563,0.0005,0.0000,0.0012,19.3546,0.0000,500,60.0255
19.2802,0.0166,0.0000,0.0018,19.2617,0.0000,500,60.1019
19.3516,0.0020,0.0000,0.0003,19.3493,0.0000,500,60.0308
19.3524,0.0017,0.0000,0.0001,19.3506,0.0000,500,60.0306
19.2697,0.0131,0.0000,0.0022,19.2544,0.0000,500,60.1134
19.3173,0.0016,0.0000,0.0000,19.3156,0.0000,500,60.0659
19.3531,0.0022,0.0000,0.0002,19.3506,0.0000,500,60.0301
19.2741,0.0181,0.0000,0.0033,19.2527,0.0000,500,60.1090
19.2622,0.0144,0.0000,0.0001,19.2477,0.0000,500,60.1210
19.3363,0.0005,0.0000,0.0002,19.3356,0.0000,500,60.0469
19.3550,0.0022,0.0000,0.0003,19.3525,0.0000,500,60.0282
