response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.1094,0.0014,0.0000,0.0004,3.1032,0.0001,200,0.0025
3.5756,0.0004,0.0000,0.0001,3.5619,0.0001,200,0.0046
4.0806,0.0020,0.0000,0.0005,4.0558,0.0001,200,0.0059
5.5673,0.0007,0.0000,0.0000,5.5608,0.0001,200,0.0031
6.9610,0.0011,0.0000,0.0003,6.9551,0.0000,200,0.0025
7.0807,0.0058,0.0000,0.0002,7.0741,0.0001,200,0.0023
8.0563,0.0004,0.0000,0.0005,8.0471,0.0001,200,0.0038
8.5750,0.0013,0.0000,0.0004,8.5644,0.0001,200,0.0040
9.0694,0.0013,0.0000,0.0028,9.0449,0.0001,200,0.0037
9.1233,0.0005,0.0000,0.0002,9.1091,0.0001,200,0.0048
9.2205,0.0044,0.0000,0.0003,9.2089,0.0000,200,0.0034
9.2209,0.0004,0.0000,0.0002,9.2142,0.0000,200,0.0031
9.2262,0.0004,0.0000,0.0001,9.2105,0.0001,200,0.0053
9.2473,0.0024,0.0000,0.0004,9.2222,0.0001,200,0.0062
9.8443,0.0065,0.0000,0.0004,9.8373,0.0001,200,0.0022
9.8575,0.0007,0.0000,0.0002,9.8517,0.0000,200,0.0030
10.4187,0.0010,0.0000,0.0003,10.4127,0.0002,200,0.0025
11.0044,0.0016,0.0000,0.0005,10.9976,0.0000,200,0.0026
11.0099,0.0009,0.0000,0.0010,10.9997,0.0000,200,0.0036
11.0504,0.0010,0.0000,0.0004,11.0442,0.0000,200,0.0029
11.1181,0.0017,0.0000,0.0006,11.1071,0.0001,200,0.0040
11.5715,0.0008,0.0000,0.0002,11.5650,0.0001,200,0.0028
11.6804,0.0011,0.0000,0.0004,11.6584,0.0001,200,0.0037
11.7933,0.0003,0.0000,0.0000,11.7779,0.0001,200,0.0053
12.0727,0.0011,0.0000,0.0004,12.0590,0.0000,200,0.0044
12.1078,0.0011,0.0000,0.0003,12.1011,0.0000,200,0.0024
12.1970,0.0004,0.0000,0.0002,12.1818,0.0001,200,0.0051
12.2013,0.0010,0.0000,0.0003,12.1910,0.0000,200,0.0041
12.2088,0.0003,0.0000,0.0001,12.1924,0.0001,200,0.0058
12.2986,0.0005,0.0000,0.0001,12.2853,0.0000,200,0.0046
