response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.7357,0.0009,0.0000,0.0008,3.7339,0.0001,200,0.0062
5.9116,0.0009,0.0000,0.0002,5.9103,0.0001,200,0.0135
7.0672,0.0004,0.0000,0.0002,7.0664,0.0001,200,0.0158
7.4713,0.0016,0.0000,0.0016,7.4680,0.0001,200,0.0099
8.7764,0.0004,0.0000,0.0002,8.7756,0.0001,200,0.0133
9.2155,0.0007,0.0000,0.0004,9.2143,0.0001,200,0.0052
9.2315,0.0005,0.0000,0.0006,9.2302,0.0001,200,0.0065
9.2619,0.0012,0.0000,0.0007,9.2599,0.0001,200,0.0050
9.3936,0.0005,0.0000,0.0009,9.3922,0.0001,200,0.0109
9.9120,0.0023,0.0000,0.0034,9.9062,0.0001,200,0.0095
10.4874,0.0010,0.0000,0.0002,10.4861,0.0001,200,0.0134
10.5024,0.0022,0.0000,0.0016,10.4985,0.0001,200,0.0071
10.6668,0.0005,0.0000,0.0001,10.6661,0.0001,200,0.0040
10.8490,0.0022,0.0000,0.0006,10.8461,0.0001,200,0.0102
11.1237,0.0005,0.0000,0.0005,11.1226,0.0001,200,0.0054
11.1302,0.0010,0.0000,0.0006,11.1284,0.0002,200,0.0052
11.1538,0.0009,0.0000,0.0001,11.1526,0.0001,200,0.0032
11.1824,0.0005,0.0000,0.0003,11.1815,0.0001,200,0.0157
11.8977,0.0073,0.0000,0.0002,11.8899,0.0002,200,0.0069
11.9027,0.0004,0.0000,0.0008,11.9015,0.0001,200,0.0084
11.9261,0.0006,0.0000,0.0006,11.9248,0.0001,200,0.0064
11.9800,0.0019,0.0000,0.0002,11.9778,0.0001,200,0.0036
12.0485,0.0005,0.0000,0.0004,12.0475,0.0001,200,0.0054
12.0484,0.0026,0.0000,0.0036,12.0421,0.0001,200,0.0093
12.1522,0.0008,0.0000,0.0000,12.1512,0.0001,200,0.0036
12.1585,0.0007,0.0000,0.0007,12.1568,0.0001,200,0.0061
12.4045,0.0007,0.0000,0.0005,12.4032,0.0001,200,0.0116
12.4803,0.0008,0.0000,0.0011,12.4782,0.0001,200,0.0107
12.5101,0.0020,0.0000,0.0014,12.5066,0.0001,200,0.0073
13.0560,0.0005,0.0000,0.0004,13.0544,0.0001,200,0.0034
13.3402,0.0014,0.0000,0.0011,13.3376,0.0001,200,0.0077
13.8206,0.0016,0.0000,0.0046,13.8142,0.0001,200,0.0057
13.8355,0.0005,0.0000,0.0001,13.8348,0.0001,200,0.0050
13.9109,0.0011,0.0000,0.0008,13.9089,0.0001,200,0.0113
13.9134,0.0033,0.0000,0.0046,13.9055,0.0000,200,0.0088
13.9180,0.0019,0.0000,0.0006,13.9154,0.0000,200,0.0042
13.9202,0.0129,0.0000,0.0002,13.9070,0.0000,200,0.0035
