response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.4087,0.0020,0.0000,0.0009,3.4058,0.0001,200,0.0048
3.4780,0.0003,0.0000,0.0001,3.4656,0.0001,200,0.0040
5.1877,0.0005,0.0000,0.0000,5.1764,0.0001,200,0.0035
5.8373,0.0011,0.0000,0.0000,5.8265,0.0001,200,0.0033
6.3525,0.0010,0.0000,0.0005,6.3434,0.0001,200,0.0029
6.4659,0.0020,0.0000,0.0007,6.4631,0.0001,200,0.0023
7.2616,0.0016,0.0000,0.0002,7.2597,0.0001,200,0.0116
7.3983,0.0006,0.0000,0.0001,7.3871,0.0001,200,0.0035
7.9224,0.0019,0.0000,0.0004,7.9124,0.0000,200,0.0029
9.1133,0.0023,0.0000,0.0003,9.1107,0.0001,200,0.0043
9.3362,0.0008,0.0000,0.0006,9.3347,0.0001,200,0.0091
9.4365,0.0011,0.0000,0.0007,9.4346,0.0001,200,0.0089
9.4623,0.0019,0.0000,0.0006,9.4597,0.0001,200,0.0023
9.5784,0.0012,0.0000,0.0007,9.5764,0.0001,200,0.0074
9.7822,0.0009,0.0000,0.0001,9.7718,0.0001,200,0.0033
10.4843,0.0007,0.0000,0.0005,10.4830,0.0001,200,0.0092
10.6171,0.0004,0.0000,0.0004,10.6137,0.0001,200,0.0036
10.7135,0.0013,0.0000,0.0007,10.7041,0.0001,200,0.0028
10.9162,0.0020,0.0000,0.0011,10.9130,0.0001,200,0.0068
11.0599,0.0025,0.0000,0.0004,11.0570,0.0001,200,0.0016
11.3164,0.0012,0.0000,0.0002,11.3149,0.0001,200,0.0118
11.3562,0.0004,0.0000,0.0000,11.3443,0.0001,200,0.0038
11.3987,0.0020,0.0000,0.0001,11.3957,0.0001,200,0.0053
11.5614,0.0020,0.0000,0.0010,11.5583,0.0001,200,0.0082
11.6213,0.0019,0.0000,0.0010,11.6184,0.0001,200,0.0083
11.8570,0.0015,0.0000,0.0007,11.8548,0.0001,200,0.0100
11.8624,0.0019,0.0000,0.0001,11.8604,0.0000,200,0.0062
11.8615,0.0012,0.0000,0.0001,11.8602,0.0000,200,0.0110
11.9784,0.0022,0.0000,0.0010,11.9751,0.0001,200,0.0081
11.9865,0.0016,0.0000,0.0003,11.9845,0.0001,200,0.0106
11.9986,0.0010,0.0000,0.0000,11.9877,0.0000,200,0.0033
12.2389,0.0011,0.0000,0.0007,12.2340,0.0001,200,0.0026
12.2374,0.0008,0.0000,0.0006,12.2358,0.0000,200,0.0057
12.2417,0.0016,0.0000,0.0008,12.2347,0.0000,200,0.0026
12.2796,0.0014,0.0000,0.0009,12.2744,0.0001,200,0.0026
12.2815,0.0004,0.0000,0.0001,12.2697,0.0000,200,0.0037
12.2853,0.0003,0.0000,0.0000,12.2734,0.0001,200,0.0038
12.4345,0.0018,0.0000,0.0010,12.4316,0.0001,200,0.0069
12.4703,0.0015,0.0000,0.0007,12.4608,0.0001,200,0.0028
12.7149,0.0018,0.0000,0.0009,12.7121,0.0000,200,0.0051
12.7142,0.0013,0.0000,0.0006,12.7121,0.0000,200,0.0086
12.7265,0.0014,0.0000,0.0008,12.7242,0.0000,200,0.0087
12.7287,0.0005,0.0000,0.0005,12.7278,0.0000,200,0.0079
12.7897,0.0005,0.0000,0.0001,12.7781,0.0001,200,0.0037
12.7900,0.0004,0.0000,0.0001,12.7784,0.0000,200,0.0037
12.7912,0.0135,0.0000,0.0000,12.7776,0.0000,200,0.0025
12.7892,0.0020,0.0000,0.0002,12.7869,0.0001,200,0.0045
12.9686,0.0011,0.0000,0.0002,12.9588,0.0001,200,0.0030
13.0829,0.0015,0.0000,0.0009,13.0805,0.0001,200,0.0086
13.1367,0.0010,0.0000,0.0005,13.1348,0.0000,200,0.0054
13.1641,0.0005,0.0000,0.0000,13.1515,0.0001,200,0.0039
13.2693,0.0012,0.0000,0.0008,13.2671,0.0001,200,0.0054
13.3034,0.0011,0.0000,0.0004,13.2938,0.0001,200,0.0030
13.3047,0.0125,0.0000,0.0001,13.2900,0.0000,200,0.0019
13.3769,0.0008,0.0000,0.0005,13.3755,0.0000,200,0.0091
13.4465,0.0005,0.0000,0.0005,13.4402,0.0001,200,0.0027
13.4855,0.0009,0.0000,0.0000,13.4751,0.0000,200,0.0033
13.5459,0.0011,0.0000,0.0001,13.5351,0.0001,200,0.0033
13.5539,0.0022,0.0000,0.0017,13.5497,0.0000,200,0.0019
13.5697,0.0005,0.0000,0.0000,13.5582,0.0000,200,0.0036
13.6468,0.0011,0.0000,0.0001,13.6364,0.0001,200,0.0033
13.6500,0.0062,0.0000,0.0009,13.6429,0.0000,200,0.0025
13.6997,0.0025,0.0000,0.0010,13.6961,0.0001,200,0.0020
13.7045,0.0022,0.0000,0.0009,13.7012,0.0001,200,0.0095
13.7565,0.0009,0.0000,0.0006,13.7549,0.0001,200,0.0090
