response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4817,0.0325,0.0000,0.0012,1.4477,0.0002,200,0.0305
1.6287,0.0397,0.0000,0.0011,1.5873,0.0005,200,0.0068
1.9762,0.0392,0.0000,0.0010,1.9359,0.0002,200,0.0088
2.2282,0.0378,0.0000,0.0008,2.1892,0.0004,200,0.0100
2.3166,0.0297,0.0000,0.0015,2.2849,0.0005,200,0.0277
2.3449,0.0483,0.0000,0.0033,2.2932,0.0002,200,0.0100
2.3901,0.0276,0.0000,0.0131,2.3493,0.0002,200,0.0288
2.4253,0.0028,0.0000,0.0019,2.3882,0.0002,200,0.0120
2.5191,0.0118,0.0000,0.0001,2.4709,0.0044,200,0.0118
2.6355,0.0423,0.0000,0.0004,2.5846,0.0083,200,0.0088
2.7579,0.0382,0.0000,0.0010,2.7186,0.0001,200,0.0098
2.7588,0.0405,0.0000,0.0006,2.7175,0.0001,200,0.0093
2.7584,0.0379,0.0000,0.0009,2.7192,0.0004,200,0.0100
2.8823,0.0496,0.0000,0.0019,2.8305,0.0002,200,0.0079
2.8774,0.0083,0.0000,0.0004,2.8366,0.0005,200,0.0129
2.9293,0.0301,0.0000,0.0019,2.8948,0.0026,200,0.0275
2.9279,0.0268,0.0000,0.0111,2.8896,0.0003,200,0.0292
2.9512,0.0467,0.0000,0.0003,2.9042,0.0000,200,0.0080
3.0393,0.0323,0.0000,0.0115,2.9955,0.0001,200,0.0238
3.0498,0.0022,0.0000,0.0012,3.0136,0.0002,200,0.0134
0.6600,0.0000,0.0000,0.0000,0.6597,0.0002,200,2.5310
3.1782,0.0274,0.0000,0.0115,3.1390,0.0003,200,0.0288
3.4404,0.0295,0.0000,0.0111,3.3838,0.0003,200,0.0107
3.6701,0.0272,0.0000,0.0125,3.6302,0.0002,200,0.0291
3.9297,0.0479,0.0000,0.0000,3.8815,0.0002,200,0.0078
4.0774,0.0410,0.0000,0.0008,3.3696,0.6660,200,0.0091
2.5416,0.0000,0.0000,0.0000,1.7851,0.7565,200,1.6355
4.1545,0.0292,0.0000,0.0135,4.1068,0.0050,200,0.0280
1.2368,0.0000,0.0000,0.0000,1.2365,0.0003,200,2.9592
2.2113,0.0000,0.0000,0.0000,2.2113,0.0000,200,1.9850
4.3327,0.0396,0.0000,0.0011,4.2918,0.0001,200,0.0084
4.6845,0.0049,0.0000,0.0010,4.3152,0.3312,200,0.0132
4.6753,0.0354,0.0000,0.0027,4.6309,0.0062,200,0.0225
5.0215,0.0342,0.0000,0.0026,4.9846,0.0002,200,0.0295
5.1346,0.0017,0.0000,0.0008,5.1006,0.0001,200,0.0146
2.2929,0.0000,0.0000,0.0000,2.2928,0.0001,200,3.0632
6.0675,0.0389,0.0000,0.0007,6.0276,0.0003,200,0.0089
4.6579,0.0000,0.0000,0.0000,2.8483,1.8095,200,1.5122
6.0994,0.0000,0.0000,0.0000,6.0993,0.0001,200,2.4190
8.6141,0.0274,0.0000,0.0120,8.5746,0.0001,200,0.0288
9.2212,0.0419,0.0000,0.0007,9.1786,0.0001,200,0.0081
10.2995,0.0113,0.0000,0.0002,10.2564,0.0001,200,0.0124
10.3014,0.0478,0.0000,0.0002,10.2330,0.0001,200,0.0123
10.3095,0.0300,0.0000,0.0014,10.2780,0.0001,200,0.0274
10.3202,0.0267,0.0000,0.0113,10.2822,0.0001,200,0.0293
10.3189,0.0402,0.0000,0.0001,10.2784,0.0001,200,0.0313
10.3242,0.0304,0.0000,0.0020,10.2916,0.0000,200,0.0272
10.3272,0.0331,0.0000,0.0018,10.2922,0.0000,200,0.0243
10.3417,0.0119,0.0000,0.0001,10.2967,0.0003,200,0.0109
10.3441,0.0411,0.0000,0.0009,10.3020,0.0001,200,0.0091
10.3410,0.0098,0.0000,0.0004,10.2990,0.0000,200,0.0125
10.5038,0.0353,0.0000,0.0032,10.4652,0.0002,200,0.0229
8.2886,0.0000,0.0000,0.0000,8.2885,0.0000,200,2.2382
10.8332,0.0322,0.0000,0.0129,10.7766,0.0002,200,0.0129
10.8922,0.0327,0.0000,0.0012,3.1673,7.6911,200,0.0304
10.8952,0.0301,0.0000,0.0016,10.8631,0.0004,200,0.0274
10.9134,0.0407,0.0000,0.0007,10.8719,0.0000,200,0.0093
11.8976,0.0388,0.0000,0.0006,11.8580,0.0002,200,0.0090
11.8943,0.0095,0.0000,0.0002,11.8524,0.0004,200,0.0127
11.8948,0.0102,0.0000,0.0022,11.8470,0.0000,200,0.0122
11.8986,0.0443,0.0000,0.0003,11.8538,0.0001,200,0.0085
11.9185,0.0448,0.0000,0.0005,11.8731,0.0001,200,0.0082
12.3628,0.0344,0.0000,0.0027,12.3255,0.0002,200,0.0293
12.9365,0.0412,0.0000,0.0009,12.8939,0.0004,200,0.0089
10.5088,0.0000,0.0000,0.0001,10.5085,0.0002,200,2.4373
12.9180,0.0326,0.0000,0.0011,12.8839,0.0004,200,0.0304
12.9421,0.0414,0.0000,0.0001,12.9004,0.0001,200,0.0083
12.9417,0.0412,0.0000,0.0010,12.8994,0.0001,200,0.0090
13.1171,0.0385,0.0000,0.0013,13.0772,0.0001,200,0.0096
13.6567,0.0329,0.0000,0.0017,13.6218,0.0002,200,0.0303
10.6359,0.0000,0.0000,0.0000,10.6356,0.0003,200,3.0631
13.6914,0.0325,0.0000,0.0010,13.6386,0.0001,200,0.0111
13.6947,0.0399,0.0000,0.0014,13.6533,0.0002,200,0.0083
13.6822,0.0017,0.0000,0.0009,13.6543,0.0002,200,0.0210
13.6764,0.0301,0.0000,0.0016,13.6444,0.0003,200,0.0273
13.6793,0.0469,0.0000,0.0001,13.6319,0.0003,200,0.0245
13.6755,0.0273,0.0000,0.0121,13.6359,0.0002,200,0.0289
13.6748,0.0373,0.0000,0.0015,13.6354,0.0006,200,0.0296
13.6785,0.0303,0.0000,0.0018,13.6462,0.0002,200,0.0273
13.6786,0.0302,0.0000,0.0020,13.6462,0.0002,200,0.0274
13.6763,0.0338,0.0000,0.0026,13.6397,0.0002,200,0.0299
13.6780,0.0374,0.0000,0.0016,13.6384,0.0006,200,0.0295
13.6987,0.0414,0.0000,0.0011,13.6561,0.0000,200,0.0089
13.6805,0.0299,0.0000,0.0136,13.6366,0.0003,200,0.0274
15.8673,0.0764,0.0000,0.0000,15.7908,0.0000,200,0.0371
15.8642,0.0837,0.0000,0.0003,15.7799,0.0002,200,0.0404
16.0660,0.0477,0.0000,0.0005,16.0175,0.0003,200,0.0330
16.3777,0.0558,0.0000,0.0008,16.3208,0.0003,200,0.0262
16.5135,0.0553,0.0000,0.0019,16.4410,0.0001,200,0.0104
16.6903,0.0422,0.0000,0.0004,16.6472,0.0004,200,0.0314
16.8922,0.0979,0.0000,0.0001,16.7713,0.0000,200,0.0203
16.8744,0.0791,0.0000,0.0014,16.7938,0.0000,200,0.0383
16.8801,0.0475,0.0000,0.0016,16.8307,0.0003,200,0.0326
17.0807,0.0604,0.0000,0.0020,17.0183,0.0001,200,0.0338
17.2429,0.0680,0.0000,0.0054,17.1449,0.0030,200,0.0136
17.3129,0.0283,0.0000,0.0131,17.2690,0.0026,200,0.0284
17.3438,0.0668,0.0000,0.0001,17.2554,0.0001,200,0.0133
17.5675,0.0562,0.0000,0.0007,17.4947,0.0002,200,0.0107
17.6513,0.0676,0.0000,0.0054,17.5777,0.0006,200,0.0354
17.6819,0.0853,0.0000,0.0016,17.5737,0.0213,200,0.0408
17.6910,0.0454,0.0000,0.0009,17.6237,0.0210,200,0.0317
18.6523,0.0849,0.0000,0.0006,18.5415,0.0002,200,0.0149
18.6529,0.0483,0.0000,0.0011,18.6031,0.0005,200,0.0327
18.7177,0.0368,0.0000,0.0011,18.6796,0.0002,200,0.0288
19.1908,0.0490,0.0000,0.0006,19.1410,0.0002,200,0.0335
19.1868,0.0787,0.0000,0.0004,19.1076,0.0001,200,0.0388
19.9047,0.0484,0.0000,0.0018,19.8336,0.0005,200,0.0122
19.9030,0.0695,0.0000,0.0013,19.8089,0.0004,200,0.0139
19.9179,0.0990,0.0000,0.0003,19.7949,0.0003,200,0.0198
19.9056,0.0488,0.0000,0.0004,19.8562,0.0001,200,0.0336
19.9034,0.0683,0.0000,0.0020,19.8326,0.0004,200,0.0365
20.0001,0.0437,0.0000,0.0009,12.8950,7.0605,200,0.0081
20.0001,0.0394,0.0000,0.0011,12.8983,7.0612,200,0.0086
19.9801,0.0689,0.0000,0.0024,19.9087,0.0000,200,0.0363
19.9980,0.0941,0.0000,0.0005,19.8787,0.0000,200,0.0184
19.9759,0.0847,0.0000,0.0007,19.8905,0.0000,200,0.0405
20.0001,0.0286,0.0000,0.0132,12.8800,7.0783,200,0.0282
20.0321,0.0061,0.0000,0.0009,10.3004,9.6927,200,0.0132
20.0250,0.0296,0.0000,0.0013,13.6481,6.3460,200,0.0278
20.0251,0.0287,0.0000,0.0134,12.8746,7.1085,200,0.0281
19.7897,0.0000,0.0000,0.0000,19.7896,0.0001,200,2.9568
