response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.9441,0.0003,0.0000,0.0004,1.9127,0.0307,200,0.0118
2.0430,0.0022,0.0000,0.0021,2.0387,0.0001,200,0.0056
2.0461,0.0017,0.0000,0.0001,1.5614,0.4829,200,0.0031
2.0451,0.0011,0.0000,0.0010,1.5601,0.4830,200,0.0042
2.0419,0.0046,0.0000,0.0021,1.5519,0.4833,200,0.0077
2.4838,0.0013,0.0000,0.0003,2.4820,0.0001,200,0.0121
2.6893,0.0008,0.0000,0.0002,2.6882,0.0001,200,0.0035
2.7495,0.0020,0.0000,0.0022,2.7451,0.0002,200,0.0095
2.7869,0.0043,0.0000,0.0022,2.7802,0.0001,200,0.0078
2.8422,0.0029,0.0000,0.0024,2.8367,0.0002,200,0.0051
2.9231,0.0019,0.0000,0.0019,2.9191,0.0001,200,0.0057
2.9485,0.0024,0.0000,0.0023,2.9436,0.0002,200,0.0092
2.9801,0.0012,0.0000,0.0001,2.9782,0.0003,200,0.0031
3.0304,0.0055,0.0000,0.0021,3.0227,0.0001,200,0.0071
3.3285,0.0057,0.0000,0.0021,3.3206,0.0001,200,0.0070
3.3726,0.0021,0.0000,0.0015,3.3689,0.0002,200,0.0036
3.4451,0.0004,0.0000,0.0004,3.4441,0.0001,200,0.0117
3.6860,0.0027,0.0000,0.0026,3.6805,0.0001,200,0.0090
3.7471,0.0009,0.0000,0.0013,3.7444,0.0004,200,0.0065
3.9231,0.0016,0.0000,0.0012,3.9203,0.0001,200,0.0039
3.9269,0.0022,0.0000,0.0020,3.9226,0.0001,200,0.0056
3.9757,0.0012,0.0000,0.0008,3.9736,0.0002,200,0.0111
1.1394,0.0000,0.0000,0.0000,1.1393,0.0000,200,2.8473
3.9932,0.0035,0.0000,0.0029,3.9866,0.0001,200,0.0046
4.0087,0.0017,0.0000,0.0001,4.0067,0.0001,200,0.0031
4.0472,0.0032,0.0000,0.0027,4.0410,0.0003,200,0.0049
4.2120,0.0031,0.0000,0.0023,4.2064,0.0002,200,0.0087
4.2548,0.0029,0.0000,0.0025,4.2491,0.0003,200,0.0051
4.2617,0.0053,0.0000,0.0021,4.2541,0.0003,200,0.0072
4.3325,0.0017,0.0000,0.0018,4.3287,0.0003,200,0.0059
4.3542,0.0006,0.0000,0.0007,4.3528,0.0001,200,0.0045
4.3845,0.0017,0.0000,0.0017,4.3809,0.0002,200,0.0059
4.3947,0.0004,0.0000,0.0006,4.3936,0.0001,200,0.0047
4.4289,0.0039,0.0000,0.0016,4.4233,0.0001,200,0.0082
4.4310,0.0013,0.0000,0.0016,4.4272,0.0008,200,0.0062
4.4340,0.0014,0.0000,0.0001,4.4321,0.0003,200,0.0033
4.4319,0.0024,0.0000,0.0022,4.4270,0.0004,200,0.0055
4.4448,0.0034,0.0000,0.0028,4.4384,0.0001,200,0.0048
4.5361,0.0040,0.0000,0.0017,4.5304,0.0001,200,0.0081
4.5336,0.0014,0.0000,0.0009,4.5311,0.0001,200,0.0109
4.5410,0.0017,0.0000,0.0013,4.5378,0.0002,200,0.0039
4.5737,0.0006,0.0000,0.0012,4.5719,0.0001,200,0.0067
4.5766,0.0015,0.0000,0.0012,4.5738,0.0001,200,0.0040
4.6376,0.0019,0.0000,0.0018,4.6338,0.0001,200,0.0058
4.6360,0.0017,0.0000,0.0022,4.6321,0.0000,200,0.0097
4.6543,0.0009,0.0000,0.0009,4.6525,0.0001,200,0.0043
4.6612,0.0019,0.0000,0.0015,4.6578,0.0001,200,0.0037
4.6574,0.0008,0.0000,0.0006,4.6557,0.0003,200,0.0114
4.8407,0.0056,0.0000,0.0020,4.8281,0.0049,200,0.0070
4.9284,0.0037,0.0000,0.0000,4.9245,0.0001,200,0.0131
4.9512,0.0027,0.0000,0.0023,4.9459,0.0003,200,0.0052
4.9893,0.0010,0.0000,0.0007,4.9868,0.0008,200,0.0112
5.0403,0.0008,0.0000,0.0008,5.0385,0.0001,200,0.0044
5.0366,0.0039,0.0000,0.0001,5.0324,0.0002,200,0.0128
5.1502,0.0051,0.0000,0.0021,5.1425,0.0004,200,0.0073
5.1539,0.0017,0.0000,0.0011,5.1506,0.0005,200,0.0037
5.1513,0.0011,0.0000,0.0015,5.1486,0.0001,200,0.0063
5.1542,0.0011,0.0000,0.0074,5.1456,0.0002,200,0.0034
5.1472,0.0006,0.0000,0.0016,5.1449,0.0001,200,0.0105
5.1482,0.0019,0.0000,0.0022,5.1437,0.0004,200,0.0096
5.2082,0.0007,0.0000,0.0001,5.2071,0.0002,200,0.0035
5.3258,0.0012,0.0000,0.0016,5.3229,0.0001,200,0.0062
5.3348,0.0009,0.0000,0.0002,5.3336,0.0002,200,0.0125
5.3413,0.0009,0.0000,0.0014,5.3388,0.0002,200,0.0065
5.4395,0.0024,0.0000,0.0024,5.4345,0.0002,200,0.0092
5.4394,0.0022,0.0000,0.0023,5.4346,0.0003,200,0.0094
5.4577,0.0015,0.0000,0.0017,5.4543,0.0003,200,0.0061
5.4589,0.0031,0.0000,0.0026,5.4529,0.0003,200,0.0050
5.4516,0.0010,0.0000,0.0002,5.4502,0.0001,200,0.0123
5.5041,0.0009,0.0000,0.0018,5.5012,0.0001,200,0.0103
5.6521,0.0034,0.0000,0.0022,5.6464,0.0001,200,0.0085
1.7337,0.0000,0.0000,0.0000,1.7337,0.0000,200,3.9270
5.6569,0.0013,0.0000,0.0010,5.6545,0.0001,200,0.0040
3.6117,0.0000,0.0000,0.0000,3.6116,0.0001,200,2.0493
5.6557,0.0026,0.0000,0.0023,5.6505,0.0003,200,0.0053
1.0025,0.0000,0.0000,0.0000,1.0023,0.0002,200,4.6586
5.6545,0.0050,0.0000,0.0022,5.6470,0.0001,200,0.0073
5.6572,0.0033,0.0000,0.0027,5.6509,0.0003,200,0.0048
5.8376,0.0005,0.0000,0.0011,5.8360,0.0001,200,0.0068
5.8331,0.0004,0.0000,0.0005,5.8318,0.0003,200,0.0116
5.8398,0.0016,0.0000,0.0010,5.8355,0.0017,200,0.0108
5.8421,0.0032,0.0000,0.0023,5.8363,0.0003,200,0.0086
3.0676,0.0000,0.0000,0.0000,3.0673,0.0002,200,2.7948
5.8565,0.0015,0.0000,0.0017,5.8533,0.0000,200,0.0061
5.9867,0.0022,0.0000,0.0022,5.9819,0.0003,200,0.0093
5.9924,0.0019,0.0000,0.0014,5.9889,0.0001,200,0.0037
6.0601,0.0010,0.0000,0.0009,6.0579,0.0003,200,0.0043
6.0577,0.0004,0.0000,0.0010,6.0562,0.0000,200,0.0068
6.0575,0.0045,0.0000,0.0023,6.0505,0.0002,200,0.0078
6.1930,0.0011,0.0000,0.0019,6.1898,0.0001,200,0.0102
6.1925,0.0012,0.0000,0.0008,6.1902,0.0003,200,0.0110
6.1956,0.0038,0.0000,0.0015,6.1903,0.0001,200,0.0083
6.2513,0.0036,0.0000,0.0022,6.2454,0.0001,200,0.0084
6.2992,0.0018,0.0000,0.0022,6.2951,0.0001,200,0.0096
6.4937,0.0010,0.0000,0.0019,6.4906,0.0001,200,0.0102
4.4546,0.0000,0.0000,0.0000,4.4545,0.0001,200,2.0493
4.0357,0.0000,0.0000,0.0000,4.0354,0.0002,200,2.4960
6.5484,0.0006,0.0000,0.0005,6.5470,0.0001,200,0.0115
6.6479,0.0016,0.0000,0.0012,6.6450,0.0000,200,0.0039
6.6455,0.0011,0.0000,0.0015,6.6428,0.0000,200,0.0063
6.6415,0.0008,0.0000,0.0017,6.6389,0.0002,200,0.0104
6.7142,0.0036,0.0000,0.0000,6.7104,0.0001,200,0.0132
6.7377,0.0012,0.0000,0.0020,6.7343,0.0002,200,0.0101
3.3868,0.0000,0.0000,0.0000,3.3866,0.0001,200,3.3762
1.8280,0.0000,0.0000,0.0000,1.8279,0.0001,200,4.9415
3.4425,0.0000,0.0000,0.0000,3.4422,0.0003,200,3.3354
6.7895,0.0007,0.0000,0.0013,6.7872,0.0002,200,0.0066
2.4380,0.0000,0.0000,0.0000,2.4376,0.0003,200,4.3588
6.7848,0.0012,0.0000,0.0003,6.7830,0.0004,200,0.0122
6.8200,0.0038,0.0000,0.0015,6.8145,0.0001,200,0.0082
6.8228,0.0020,0.0000,0.0020,6.8184,0.0004,200,0.0057
6.8235,0.0031,0.0000,0.0026,6.8176,0.0003,200,0.0050
6.8201,0.0033,0.0000,0.0023,6.8143,0.0002,200,0.0086
6.9294,0.0014,0.0000,0.0021,6.9258,0.0001,200,0.0100
6.9576,0.0009,0.0000,0.0006,6.9559,0.0002,200,0.0113
6.9656,0.0031,0.0000,0.0027,6.9597,0.0001,200,0.0087
6.9773,0.0007,0.0000,0.0006,6.9759,0.0001,200,0.0114
7.0286,0.0018,0.0000,0.0014,7.0252,0.0003,200,0.0038
7.0523,0.0047,0.0000,0.0021,7.0453,0.0002,200,0.0076
7.1455,0.0014,0.0000,0.0021,7.1415,0.0003,200,0.0098
7.1450,0.0017,0.0000,0.0010,7.1421,0.0002,200,0.0107
7.1448,0.0013,0.0000,0.0008,7.1426,0.0001,200,0.0110
7.1451,0.0015,0.0000,0.0009,7.1425,0.0001,200,0.0108
7.1490,0.0058,0.0000,0.0021,7.1411,0.0001,200,0.0069
7.1526,0.0032,0.0000,0.0001,7.1492,0.0001,200,0.0139
7.1898,0.0040,0.0000,0.0001,7.1856,0.0001,200,0.0126
2.8399,0.0000,0.0000,0.0000,2.8398,0.0001,200,4.3904
7.2914,0.0018,0.0000,0.0011,7.2884,0.0001,200,0.0106
7.3114,0.0036,0.0000,0.0022,7.3047,0.0009,200,0.0084
0.5239,0.0000,0.0000,0.0000,0.5237,0.0002,200,6.7960
7.3125,0.0048,0.0000,0.0021,7.3047,0.0008,200,0.0075
7.3129,0.0053,0.0000,0.0021,7.3049,0.0005,200,0.0072
7.3083,0.0015,0.0000,0.0004,7.3054,0.0009,200,0.0119
7.3151,0.0027,0.0000,0.0024,7.3089,0.0010,200,0.0052
7.3228,0.0049,0.0000,0.0019,7.3158,0.0002,200,0.0075
7.4014,0.0025,0.0000,0.0024,7.3963,0.0001,200,0.0091
7.4351,0.0017,0.0000,0.0005,7.3053,0.1275,200,0.0118
7.4522,0.0032,0.0000,0.0001,7.4488,0.0002,200,0.0140
2.8078,0.0000,0.0000,0.0000,2.8077,0.0000,200,4.6688
7.4744,0.0043,0.0000,0.0022,7.4677,0.0002,200,0.0079
7.4710,0.0006,0.0000,0.0005,7.4694,0.0005,200,0.0115
7.5239,0.0034,0.0000,0.0024,7.5178,0.0002,200,0.0085
7.5245,0.0042,0.0000,0.0022,7.5173,0.0008,200,0.0080
7.5244,0.0041,0.0000,0.0027,7.5176,0.0000,200,0.0081
7.6132,0.0016,0.0000,0.0021,7.6093,0.0002,200,0.0098
7.6125,0.0014,0.0000,0.0009,7.6102,0.0001,200,0.0109
7.6185,0.0025,0.0000,0.0022,7.6127,0.0011,200,0.0053
7.7112,0.0029,0.0000,0.0027,7.7053,0.0001,200,0.0088
7.7129,0.0054,0.0000,0.0022,7.7052,0.0001,200,0.0071
1.9077,0.0000,0.0000,0.0000,1.9074,0.0003,200,5.8625
7.7810,0.0026,0.0000,0.0026,7.7757,0.0001,200,0.0091
7.8130,0.0028,0.0000,0.0027,7.8074,0.0002,200,0.0090
7.8605,0.0013,0.0000,0.0010,7.8581,0.0002,200,0.0041
7.8661,0.0010,0.0000,0.0007,7.8644,0.0000,200,0.0112
7.9170,0.0023,0.0000,0.0021,7.9122,0.0003,200,0.0055
1.2709,0.0000,0.0000,0.0000,1.2705,0.0003,200,6.6518
4.8852,0.0000,0.0000,0.0000,4.8848,0.0003,200,3.0375
7.9302,0.0038,0.0000,0.0000,7.9261,0.0002,200,0.0129
5.1641,0.0000,0.0000,0.0000,5.1639,0.0001,200,2.9288
8.1397,0.0008,0.0000,0.0018,8.1370,0.0001,200,0.0104
4.5865,0.0000,0.0000,0.0000,4.5864,0.0001,200,3.7536
2.6865,0.0000,0.0000,0.0000,2.6863,0.0002,200,5.6610
0.7268,0.0000,0.0000,0.0000,0.7267,0.0001,200,7.6239
8.3429,0.0009,0.0000,0.0007,8.3412,0.0001,200,0.0113
4.0802,0.0000,0.0000,0.0000,4.0801,0.0001,200,4.3384
8.4069,0.0016,0.0000,0.0005,8.4046,0.0001,200,0.0119
8.4096,0.0039,0.0000,0.0004,8.4050,0.0002,200,0.0095
3.5751,0.0000,0.0000,0.0000,3.5750,0.0001,200,4.8477
4.4865,0.0000,0.0000,0.0000,4.4864,0.0001,200,4.0119
3.0350,0.0000,0.0000,0.0000,3.0348,0.0002,200,5.4639
8.4864,0.0040,0.0000,0.0000,8.4824,0.0000,200,0.0127
3.4107,0.0000,0.0000,0.0000,3.4106,0.0001,200,5.1575
8.6021,0.0017,0.0000,0.0010,8.5992,0.0001,200,0.0107
5.8538,0.0000,0.0000,0.0000,5.8537,0.0001,200,2.7590
6.7031,0.0000,0.0000,0.0000,6.7029,0.0001,200,1.9559
4.7334,0.0000,0.0000,0.0000,4.7332,0.0001,200,3.9868
6.7088,0.0000,0.0000,0.0000,6.7087,0.0001,200,2.0486
8.8047,0.0007,0.0000,0.0007,8.8031,0.0001,200,0.0045
3.3968,0.0000,0.0000,0.0000,3.3967,0.0000,200,5.4487
6.7960,0.0000,0.0000,0.0000,6.7959,0.0001,200,2.0495
3.5293,0.0000,0.0000,0.0000,3.5291,0.0001,200,5.4638
6.3579,0.0000,0.0000,0.0000,6.3578,0.0001,200,2.6928
5.4956,0.0000,0.0000,0.0000,5.4954,0.0001,200,3.6950
4.0340,0.0000,0.0000,0.0000,4.0339,0.0001,200,5.2117
2.1319,0.0000,0.0000,0.0000,2.1318,0.0001,200,7.1554
