response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0937,0.0186,0.0000,0.0001,0.0748,0.0002,200,0.0169
0.0971,0.0198,0.0000,0.0000,0.0770,0.0003,200,0.0158
0.1100,0.0320,0.0000,0.0001,0.0777,0.0002,200,0.0148
0.1143,0.0185,0.0000,0.0001,0.0953,0.0003,200,0.0149
0.1197,0.0131,0.0000,0.0001,0.1065,0.0001,200,0.0204
0.1246,0.0289,0.0000,0.0000,0.0955,0.0000,200,0.0162
0.1265,0.0251,0.0000,0.0001,0.1012,0.0001,200,0.0180
0.1936,0.0079,0.0000,0.0000,0.1856,0.0001,200,0.0229
0.2031,0.0108,0.0000,0.0002,0.1921,0.0001,200,0.0142
0.2389,0.0284,0.0000,0.0006,0.2098,0.0001,200,0.0149
0.2421,0.0281,0.0000,0.0005,0.2134,0.0001,200,0.0152
0.2457,0.0318,0.0000,0.0001,0.2137,0.0001,200,0.0147
0.2925,0.0138,0.0000,0.0001,0.2785,0.0001,200,0.0210
0.2965,0.0074,0.0000,0.0006,0.2885,0.0000,200,0.0171
0.3147,0.0310,0.0000,0.0001,0.2835,0.0001,200,0.0146
0.3371,0.0092,0.0000,0.0002,0.3276,0.0001,200,0.0153
0.3351,0.0067,0.0000,0.0001,0.3283,0.0000,200,0.0175
0.3632,0.0312,0.0000,0.0000,0.3317,0.0001,200,0.0139
0.3759,0.0050,0.0000,0.0039,0.3668,0.0001,200,0.0155
0.4212,0.0055,0.0000,0.0025,0.4130,0.0001,200,0.0172
0.4164,0.0068,0.0000,0.0002,0.4093,0.0000,200,0.0230
0.4292,0.0068,0.0000,0.0001,0.4222,0.0001,200,0.0175
0.4459,0.0088,0.0000,0.0024,0.4346,0.0001,200,0.0141
0.4525,0.0288,0.0000,0.0001,0.4235,0.0001,200,0.0149
0.4870,0.0106,0.0000,0.0000,0.4732,0.0002,200,0.0173
0.5213,0.0288,0.0000,0.0000,0.4924,0.0001,200,0.0150
0.5736,0.0068,0.0000,0.0040,0.5627,0.0001,200,0.0144
0.5732,0.0182,0.0000,0.0000,0.5548,0.0001,200,0.0167
0.5765,0.0154,0.0000,0.0001,0.5608,0.0000,200,0.0137
0.6068,0.0069,0.0000,0.0001,0.5997,0.0001,200,0.0171
0.6514,0.0124,0.0000,0.0001,0.6387,0.0001,200,0.0182
0.6613,0.0285,0.0000,0.0001,0.6326,0.0001,200,0.0164
0.6719,0.0106,0.0000,0.0001,0.6611,0.0001,200,0.0177
0.6783,0.0284,0.0000,0.0000,0.6497,0.0001,200,0.0166
0.7178,0.0286,0.0000,0.0001,0.6890,0.0001,200,0.0163
0.7694,0.0262,0.0000,0.0001,0.7430,0.0001,200,0.0167
0.7986,0.0264,0.0000,0.0001,0.7720,0.0001,200,0.0165
0.8084,0.0304,0.0000,0.0001,0.7778,0.0001,200,0.0146
0.8070,0.0283,0.0000,0.0001,0.7786,0.0000,200,0.0165
0.8474,0.0056,0.0000,0.0025,0.8391,0.0001,200,0.0171
0.8509,0.0076,0.0000,0.0001,0.8430,0.0001,200,0.0226
0.8758,0.0053,0.0000,0.0051,0.8652,0.0001,200,0.0138
0.9145,0.0092,0.0000,0.0001,0.9051,0.0001,200,0.0152
0.9345,0.0106,0.0000,0.0000,0.9237,0.0001,200,0.0145
0.9674,0.0263,0.0000,0.0001,0.9409,0.0001,200,0.0169
1.0014,0.0054,0.0000,0.0040,0.9919,0.0001,200,0.0155
