response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.6817,0.0170,0.0000,0.0001,2.6623,0.0002,200,0.0055
2.7423,0.0097,0.0000,0.0008,2.7316,0.0002,200,0.0064
2.8031,0.0221,0.0000,0.0001,2.7795,0.0001,200,0.0056
2.8111,0.0497,0.0000,0.0001,2.7598,0.0001,200,0.0040
2.8369,0.0158,0.0000,0.0003,2.8205,0.0002,200,0.0116
2.8447,0.0112,0.0000,0.0001,2.8332,0.0001,200,0.0116
2.8552,0.0182,0.0000,0.0001,2.8367,0.0001,200,0.0079
2.8659,0.0111,0.0000,0.0003,2.8543,0.0001,200,0.0164
2.8813,0.0288,0.0000,0.0001,2.8523,0.0001,200,0.0072
2.9270,0.0204,0.0000,0.0001,2.9031,0.0001,200,0.0040
2.9479,0.0196,0.0000,0.0001,2.9280,0.0002,200,0.0083
2.9529,0.0095,0.0000,0.0008,2.9411,0.0001,200,0.0054
2.9526,0.0238,0.0000,0.0002,2.9269,0.0001,200,0.0058
2.9530,0.0490,0.0000,0.0001,2.9034,0.0000,200,0.0058
2.9491,0.0051,0.0000,0.0017,2.9421,0.0001,200,0.0122
2.9623,0.0484,0.0000,0.0009,2.9123,0.0001,200,0.0047
2.9648,0.0492,0.0000,0.0001,2.9146,0.0001,200,0.0042
2.9932,0.0210,0.0000,0.0001,2.9706,0.0001,200,0.0055
2.9926,0.0459,0.0000,0.0001,2.9464,0.0000,200,0.0062
2.9974,0.0106,0.0000,0.0001,2.9850,0.0002,200,0.0052
3.0260,0.0474,0.0000,0.0001,2.9779,0.0004,200,0.0092
3.0487,0.0086,0.0000,0.0001,3.0367,0.0001,200,0.0054
3.0473,0.0207,0.0000,0.0001,3.0264,0.0001,200,0.0079
3.0521,0.0102,0.0000,0.0001,3.0413,0.0001,200,0.0063
3.0590,0.0213,0.0000,0.0003,3.0372,0.0001,200,0.0062
3.0799,0.0098,0.0000,0.0001,3.0699,0.0001,200,0.0170
3.0955,0.0319,0.0000,0.0001,3.0632,0.0001,200,0.0042
3.0948,0.0105,0.0000,0.0006,3.0835,0.0001,200,0.0066
3.1019,0.0182,0.0000,0.0002,3.0835,0.0001,200,0.0084
3.1305,0.0323,0.0000,0.0000,3.0965,0.0001,200,0.0060
3.1409,0.0164,0.0000,0.0001,3.1223,0.0001,200,0.0042
3.1415,0.0263,0.0000,0.0001,3.1151,0.0001,200,0.0096
3.1506,0.0123,0.0000,0.0001,3.1373,0.0001,200,0.0042
3.1537,0.0474,0.0000,0.0001,3.1059,0.0002,200,0.0070
3.1824,0.0208,0.0000,0.0002,3.1612,0.0002,200,0.0082
3.1851,0.0206,0.0000,0.0002,3.1627,0.0001,200,0.0055
3.1799,0.0191,0.0000,0.0001,3.1605,0.0001,200,0.0167
3.2079,0.0177,0.0000,0.0001,3.1900,0.0001,200,0.0114
3.2250,0.0158,0.0000,0.0002,3.2089,0.0001,200,0.0118
3.2291,0.0108,0.0000,0.0001,3.2180,0.0001,200,0.0115
3.2485,0.0102,0.0000,0.0001,3.2381,0.0001,200,0.0125
