response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0736,0.0108,0.0000,0.0001,0.0625,0.0001,200,0.0070
0.0836,0.0089,0.0000,0.0001,0.0742,0.0003,200,0.0068
0.0864,0.0056,0.0000,0.0002,0.0800,0.0005,200,0.0061
0.0879,0.0064,0.0000,0.0001,0.0811,0.0003,200,0.0072
0.0932,0.0093,0.0000,0.0001,0.0831,0.0002,200,0.0066
0.0943,0.0102,0.0000,0.0006,0.0827,0.0001,200,0.0060
0.1003,0.0096,0.0000,0.0002,0.0897,0.0001,200,0.0060
0.1075,0.0096,0.0000,0.0000,0.0974,0.0001,200,0.0060
0.1725,0.0043,0.0000,0.0001,0.1661,0.0002,200,0.0059
0.1036,0.0000,0.0000,0.0000,0.1029,0.0007,200,0.0806
0.2006,0.0092,0.0000,0.0001,0.1907,0.0001,200,0.0061
0.1254,0.0000,0.0000,0.0000,0.1252,0.0002,200,0.0952
0.1437,0.0000,0.0000,0.0000,0.1425,0.0011,200,0.0904
0.1650,0.0000,0.0000,0.0000,0.1648,0.0001,200,0.0926
0.1513,0.0000,0.0000,0.0000,0.1511,0.0001,200,0.1063
0.1574,0.0000,0.0000,0.0001,0.1568,0.0005,200,0.1003
0.1466,0.0000,0.0000,0.0001,0.1462,0.0002,200,0.1135
0.1605,0.0000,0.0000,0.0000,0.1601,0.0002,200,0.0999
0.1294,0.0000,0.0000,0.0000,0.1293,0.0001,200,0.1786
0.1320,0.0000,0.0000,0.0000,0.1318,0.0001,200,0.2067
0.1567,0.0000,0.0000,0.0004,0.1558,0.0002,200,0.2341
0.2158,0.0000,0.0000,0.0000,0.2120,0.0002,200,0.1842
0.1449,0.0000,0.0000,0.0000,0.1447,0.0002,200,0.2577
0.1825,0.0000,0.0000,0.0001,0.1823,0.0001,200,0.2206
0.1691,0.0000,0.0000,0.0000,0.1688,0.0002,200,0.2604
0.1694,0.0000,0.0000,0.0000,0.1693,0.0001,200,0.2601
0.1722,0.0000,0.0000,0.0000,0.1720,0.0001,200,0.2576
0.1723,0.0000,0.0000,0.0000,0.1719,0.0004,200,0.2577
0.1668,0.0000,0.0000,0.0001,0.1665,0.0002,200,0.3080
0.1501,0.0000,0.0000,0.0001,0.1499,0.0001,200,0.3387
0.1040,0.0000,0.0000,0.0000,0.1037,0.0001,200,0.3907
0.1140,0.0000,0.0000,0.0001,0.1137,0.0002,200,0.4000
0.1046,0.0000,0.0000,0.0000,0.1045,0.0001,200,0.4295
0.1122,0.0000,0.0000,0.0000,0.1120,0.0002,200,0.4299
0.1514,0.0000,0.0000,0.0000,0.1512,0.0002,200,0.4026
0.1675,0.0000,0.0000,0.0000,0.1671,0.0002,200,0.4030
0.0830,0.0000,0.0000,0.0000,0.0828,0.0001,200,0.4887
0.1318,0.0000,0.0000,0.0000,0.1315,0.0002,200,0.4748
0.1173,0.0000,0.0000,0.0000,0.1169,0.0003,200,0.4947
0.1983,0.0000,0.0000,0.0000,0.1982,0.0001,200,0.4295
0.1980,0.0000,0.0000,0.0001,0.1978,0.0001,200,0.4300
0.2097,0.0000,0.0000,0.0001,0.2096,0.0001,200,0.5141
0.1819,0.0000,0.0000,0.0000,0.1817,0.0001,200,0.5421
0.1967,0.0000,0.0000,0.0000,0.1965,0.0001,200,0.5341
0.1628,0.0000,0.0000,0.0000,0.1626,0.0002,200,0.5717
0.1684,0.0000,0.0000,0.0000,0.1681,0.0002,200,0.5705
0.2026,0.0000,0.0000,0.0001,0.2023,0.0001,200,0.5541
0.1505,0.0000,0.0000,0.0001,0.1497,0.0002,200,0.6066
0.1518,0.0000,0.0000,0.0000,0.1505,0.0001,200,0.6281
0.1740,0.0000,0.0000,0.0002,0.1736,0.0001,200,0.6120
0.1583,0.0000,0.0000,0.0000,0.1582,0.0001,200,0.6278
0.0678,0.0000,0.0000,0.0000,0.0676,0.0002,200,0.7345
0.0900,0.0000,0.0000,0.0001,0.0898,0.0001,200,0.7238
0.1010,0.0000,0.0000,0.0000,0.1008,0.0001,200,0.7308
0.1124,0.0000,0.0000,0.0000,0.1119,0.0004,200,0.7240
0.1161,0.0000,0.0000,0.0000,0.1157,0.0003,200,0.7571
0.1373,0.0000,0.0000,0.0000,0.1370,0.0001,200,0.7390
0.1474,0.0000,0.0000,0.0001,0.1471,0.0001,200,0.7567
0.1051,0.0000,0.0000,0.0000,0.1048,0.0002,200,0.8023
0.1400,0.0000,0.0000,0.0000,0.1398,0.0001,200,0.7799
0.1340,0.0000,0.0000,0.0000,0.1339,0.0000,200,0.7862
0.1386,0.0000,0.0000,0.0000,0.1384,0.0002,200,0.7864
0.1561,0.0000,0.0000,0.0000,0.1559,0.0001,200,0.8363
0.1608,0.0000,0.0000,0.0000,0.1606,0.0001,200,0.8318
0.2096,0.0000,0.0000,0.0001,0.2094,0.0002,200,0.8139
0.1336,0.0000,0.0000,0.0000,0.1333,0.0001,200,0.9041
0.1647,0.0000,0.0000,0.0001,0.1646,0.0000,200,0.8732
0.1620,0.0000,0.0000,0.0000,0.1619,0.0000,200,0.8762
0.1347,0.0000,0.0000,0.0001,0.1345,0.0001,200,0.9075
0.1480,0.0000,0.0000,0.0000,0.1478,0.0001,200,0.9199
0.0761,0.0000,0.0000,0.0000,0.0760,0.0001,200,0.9926
0.1563,0.0000,0.0000,0.0000,0.1561,0.0002,200,0.9202
0.1747,0.0000,0.0000,0.0002,0.1744,0.0001,200,0.9250
