response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1440,0.0280,0.0000,0.0001,0.1152,0.0007,200,0.0212
0.1618,0.0526,0.0000,0.0008,0.1081,0.0002,200,0.0095
0.1563,0.0238,0.0000,0.0001,0.1322,0.0001,200,0.0183
0.1572,0.0246,0.0000,0.0001,0.1324,0.0001,200,0.0187
0.1627,0.0317,0.0000,0.0009,0.1299,0.0001,200,0.0135
0.1709,0.0113,0.0000,0.0003,0.1589,0.0001,200,0.0086
0.3194,0.0269,0.0000,0.0001,0.2922,0.0001,200,0.0192
0.3684,0.0351,0.0000,0.0001,0.3331,0.0001,200,0.0105
0.3604,0.0413,0.0000,0.0033,0.3158,0.0001,200,0.0192
0.3680,0.0259,0.0000,0.0004,0.3417,0.0001,200,0.0183
0.3937,0.0572,0.0000,0.0004,0.3359,0.0001,200,0.0179
0.4451,0.0231,0.0000,0.0002,0.4217,0.0001,200,0.0182
0.4678,0.0166,0.0000,0.0002,0.4509,0.0001,200,0.0182
0.4828,0.0169,0.0000,0.0001,0.4657,0.0001,200,0.0183
0.4987,0.0224,0.0000,0.0005,0.4726,0.0001,200,0.0054
0.4958,0.0317,0.0000,0.0036,0.4603,0.0001,200,0.0136
0.5684,0.0301,0.0000,0.0003,0.5378,0.0001,200,0.0180
0.5551,0.0421,0.0000,0.0001,0.5126,0.0001,200,0.0337
0.5765,0.0571,0.0000,0.0018,0.5176,0.0001,200,0.0166
0.5829,0.0117,0.0000,0.0004,0.5706,0.0000,200,0.0104
0.5768,0.0483,0.0000,0.0004,0.5277,0.0001,200,0.0327
0.6463,0.0423,0.0000,0.0020,0.6018,0.0001,200,0.0197
0.6747,0.0128,0.0000,0.0016,0.6598,0.0001,200,0.0087
0.6700,0.0651,0.0000,0.0001,0.6047,0.0000,200,0.0135
0.6977,0.0645,0.0000,0.0001,0.6330,0.0001,200,0.0142
0.7435,0.0103,0.0000,0.0013,0.7317,0.0001,200,0.0102
0.7459,0.0572,0.0000,0.0009,0.6876,0.0001,200,0.0173
0.7695,0.0566,0.0000,0.0001,0.7125,0.0001,200,0.0162
0.7850,0.0559,0.0000,0.0001,0.7285,0.0001,200,0.0166
0.7784,0.0499,0.0000,0.0002,0.7280,0.0001,200,0.0354
0.8680,0.0519,0.0000,0.0002,0.8158,0.0001,200,0.0177
0.8658,0.0421,0.0000,0.0001,0.8235,0.0001,200,0.0312
0.8908,0.0489,0.0000,0.0001,0.8415,0.0001,200,0.0323
0.9061,0.0503,0.0000,0.0001,0.8555,0.0000,200,0.0195
0.9131,0.0418,0.0000,0.0020,0.8693,0.0001,200,0.0204
0.9585,0.0565,0.0000,0.0010,0.9009,0.0001,200,0.0185
0.9758,0.0248,0.0000,0.0004,0.9505,0.0001,200,0.0189
1.0100,0.0452,0.0000,0.0002,0.9636,0.0001,200,0.0285
1.0285,0.0223,0.0000,0.0009,1.0052,0.0002,200,0.0139
1.0253,0.0237,0.0000,0.0002,1.0012,0.0000,200,0.0174
1.0839,0.0465,0.0000,0.0006,1.0367,0.0001,200,0.0180
1.0761,0.0468,0.0000,0.0010,1.0282,0.0001,200,0.0278
1.1480,0.0725,0.0000,0.0001,1.0753,0.0001,200,0.0106
1.1458,0.0564,0.0000,0.0001,1.0890,0.0001,200,0.0169
1.1307,0.0422,0.0000,0.0001,1.0883,0.0001,200,0.0354
1.2131,0.0558,0.0000,0.0002,1.1570,0.0001,200,0.0142
1.2417,0.0419,0.0000,0.0001,1.1994,0.0001,200,0.0319
1.2742,0.0402,0.0000,0.0002,1.2335,0.0002,200,0.0332
1.2810,0.0461,0.0000,0.0001,1.2346,0.0001,200,0.0275
1.2751,0.0406,0.0000,0.0001,1.2342,0.0000,200,0.0335
1.3517,0.0626,0.0000,0.0002,1.2887,0.0001,200,0.0103
1.3587,0.0535,0.0000,0.0002,1.3048,0.0001,200,0.0279
1.4332,0.0447,0.0000,0.0002,1.3882,0.0001,200,0.0183
1.4448,0.0452,0.0000,0.0001,1.3994,0.0001,200,0.0138
1.4346,0.0514,0.0000,0.0000,1.3830,0.0001,200,0.0274
1.4921,0.0477,0.0000,0.0003,1.4426,0.0002,200,0.0258
1.5039,0.0619,0.0000,0.0002,1.4416,0.0001,200,0.0143
1.5185,0.0544,0.0000,0.0001,1.4639,0.0001,200,0.0189
1.5188,0.0443,0.0000,0.0018,1.4726,0.0001,200,0.0188
1.5204,0.0274,0.0000,0.0001,1.4927,0.0001,200,0.0184
