response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1876,0.0162,0.0000,0.0034,0.1451,0.0003,200,0.0290
0.2042,0.0494,0.0000,0.0003,0.1486,0.0001,200,0.0254
0.2025,0.0218,0.0000,0.0111,0.1474,0.0001,200,0.0290
0.2465,0.0547,0.0000,0.0010,0.1819,0.0002,200,0.0163
0.2576,0.0302,0.0000,0.0039,0.2154,0.0001,200,0.0171
0.2489,0.0454,0.0000,0.0006,0.1997,0.0001,200,0.0289
0.2594,0.0351,0.0000,0.0012,0.1893,0.0001,200,0.0258
0.3645,0.0426,0.0000,0.0005,0.2969,0.0002,200,0.0290
0.3683,0.0390,0.0000,0.0030,0.3013,0.0001,200,0.0290
0.3938,0.0340,0.0000,0.0010,0.3230,0.0001,200,0.0258
0.4508,0.0379,0.0000,0.0001,0.3865,0.0001,200,0.0290
0.4550,0.0503,0.0000,0.0009,0.3877,0.0001,200,0.0290
0.5501,0.0206,0.0000,0.0002,0.5037,0.0001,200,0.0258
0.5727,0.0766,0.0000,0.0001,0.4584,0.0001,200,0.0258
0.5702,0.0311,0.0000,0.0053,0.5300,0.0002,200,0.0290
0.5705,0.0268,0.0000,0.0005,0.5394,0.0000,200,0.0290
0.5846,0.0338,0.0000,0.0177,0.5243,0.0000,200,0.0163
0.6783,0.0374,0.0000,0.0062,0.6259,0.0001,200,0.0165
0.7067,0.0522,0.0000,0.0014,0.6134,0.0001,200,0.0258
0.7122,0.0597,0.0000,0.0001,0.6521,0.0001,200,0.0249
0.7301,0.0905,0.0000,0.0001,0.6385,0.0001,200,0.0163
0.7178,0.0716,0.0000,0.0001,0.6030,0.0001,200,0.0291
0.7896,0.0188,0.0000,0.0114,0.7354,0.0001,200,0.0307
0.7935,0.0683,0.0000,0.0001,0.6768,0.0001,200,0.0291
0.7986,0.0294,0.0000,0.0003,0.7430,0.0001,200,0.0290
0.8279,0.1476,0.0000,0.0001,0.6757,0.0001,200,0.0202
0.8227,0.0632,0.0000,0.0001,0.7223,0.0001,200,0.0289
0.9133,0.0770,0.0000,0.0001,0.8301,0.0001,200,0.0258
0.9191,0.0362,0.0000,0.0001,0.8461,0.0001,200,0.0258
0.9160,0.0651,0.0000,0.0002,0.8110,0.0000,200,0.0289
0.9197,0.1294,0.0000,0.0001,0.7733,0.0000,200,0.0258
0.9290,0.0639,0.0000,0.0001,0.8388,0.0002,200,0.0290
1.0017,0.1157,0.0000,0.0001,0.8719,0.0001,200,0.0289
1.0263,0.0478,0.0000,0.0003,0.9739,0.0001,200,0.0290
1.0385,0.1048,0.0000,0.0001,0.9089,0.0001,200,0.0289
1.0521,0.0951,0.0000,0.0002,0.9233,0.0001,200,0.0258
1.0866,0.0378,0.0000,0.0016,1.0395,0.0001,200,0.0171
1.1335,0.1018,0.0000,0.0001,1.0238,0.0003,200,0.0173
1.1264,0.0330,0.0000,0.0001,1.0572,0.0000,200,0.0258
