response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0883,0.0058,0.0000,0.0001,0.0810,0.0001,200,0.0082
0.0931,0.0055,0.0000,0.0001,0.0870,0.0001,200,0.0078
0.0960,0.0053,0.0000,0.0002,0.0900,0.0001,200,0.0077
0.0970,0.0124,0.0000,0.0001,0.0839,0.0000,200,0.0078
0.1005,0.0059,0.0000,0.0001,0.0945,0.0001,200,0.0077
0.1007,0.0061,0.0000,0.0003,0.0935,0.0004,200,0.0078
0.1209,0.0127,0.0000,0.0001,0.1074,0.0001,200,0.0078
0.2073,0.0118,0.0000,0.0001,0.1953,0.0001,200,0.0085
0.2075,0.0120,0.0000,0.0001,0.1952,0.0000,200,0.0084
0.1288,0.0000,0.0000,0.0000,0.1285,0.0002,200,0.0964
0.2232,0.0120,0.0000,0.0001,0.2106,0.0002,200,0.0077
0.1301,0.0000,0.0000,0.0000,0.1300,0.0000,200,0.1008
0.1340,0.0000,0.0000,0.0000,0.1338,0.0002,200,0.1049
0.1453,0.0000,0.0000,0.0000,0.1452,0.0001,200,0.1287
0.1707,0.0000,0.0000,0.0000,0.1706,0.0001,200,0.1038
0.1689,0.0000,0.0000,0.0000,0.1685,0.0001,200,0.1082
0.0821,0.0000,0.0000,0.0000,0.0819,0.0001,200,0.2159
0.1964,0.0000,0.0000,0.0000,0.1963,0.0001,200,0.1085
0.0986,0.0000,0.0000,0.0000,0.0985,0.0001,200,0.2158
0.0899,0.0000,0.0000,0.0000,0.0898,0.0001,200,0.2252
0.0848,0.0000,0.0000,0.0000,0.0845,0.0002,200,0.2309
0.0858,0.0000,0.0000,0.0000,0.0855,0.0002,200,0.2309
0.1081,0.0000,0.0000,0.0000,0.1079,0.0002,200,0.2389
0.0799,0.0000,0.0000,0.0000,0.0793,0.0006,200,0.2740
0.0828,0.0000,0.0000,0.0000,0.0826,0.0001,200,0.2744
0.0827,0.0000,0.0000,0.0000,0.0824,0.0002,200,0.2771
0.0534,0.0000,0.0000,0.0000,0.0532,0.0001,200,0.3152
0.0519,0.0000,0.0000,0.0001,0.0516,0.0000,200,0.3168
0.1041,0.0000,0.0000,0.0000,0.1039,0.0001,200,0.2980
0.1108,0.0000,0.0000,0.0000,0.1107,0.0001,200,0.3157
0.1218,0.0000,0.0000,0.0000,0.1216,0.0001,200,0.3049
0.0794,0.0000,0.0000,0.0000,0.0793,0.0001,200,0.3539
0.1243,0.0000,0.0000,0.0000,0.1240,0.0002,200,0.3145
0.0929,0.0000,0.0000,0.0000,0.0927,0.0001,200,0.3572
0.1032,0.0000,0.0000,0.0002,0.1029,0.0001,200,0.3470
0.1182,0.0000,0.0000,0.0000,0.1181,0.0001,200,0.3598
0.1144,0.0000,0.0000,0.0000,0.1142,0.0001,200,0.3686
0.0861,0.0000,0.0000,0.0000,0.0859,0.0001,200,0.4021
0.0723,0.0000,0.0000,0.0000,0.0722,0.0001,200,0.4267
0.0728,0.0000,0.0000,0.0000,0.0725,0.0001,200,0.4265
0.1308,0.0000,0.0000,0.0000,0.1307,0.0000,200,0.3687
0.0710,0.0000,0.0000,0.0004,0.0705,0.0001,200,0.4334
0.1062,0.0000,0.0000,0.0000,0.1060,0.0001,200,0.4503
0.0789,0.0000,0.0000,0.0000,0.0787,0.0001,200,0.4780
