response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1049,0.0126,0.0000,0.0001,0.0920,0.0002,200,0.0056
0.1070,0.0191,0.0000,0.0002,0.0876,0.0001,200,0.0047
0.1170,0.0315,0.0000,0.0001,0.0853,0.0001,200,0.0063
0.1173,0.0262,0.0000,0.0002,0.0908,0.0001,200,0.0060
0.1374,0.0192,0.0000,0.0002,0.1177,0.0001,200,0.0043
0.1247,0.0181,0.0000,0.0002,0.1063,0.0000,200,0.0172
0.1425,0.0333,0.0000,0.0001,0.1081,0.0009,200,0.0043
0.1866,0.0121,0.0000,0.0002,0.1742,0.0001,200,0.0055
0.1919,0.0088,0.0000,0.0001,0.1829,0.0001,200,0.0169
0.2022,0.0136,0.0000,0.0020,0.1866,0.0001,200,0.0172
0.2119,0.0098,0.0000,0.0032,0.1989,0.0001,200,0.0171
0.2371,0.0186,0.0000,0.0001,0.2178,0.0001,200,0.0044
0.2824,0.0300,0.0000,0.0001,0.2523,0.0001,200,0.0057
0.2817,0.0101,0.0000,0.0002,0.2713,0.0000,200,0.0067
0.3124,0.0213,0.0000,0.0001,0.2909,0.0001,200,0.0057
0.3382,0.0111,0.0000,0.0001,0.3268,0.0001,200,0.0071
0.3381,0.0110,0.0000,0.0001,0.3270,0.0000,200,0.0075
0.3445,0.0085,0.0000,0.0005,0.3353,0.0001,200,0.0072
0.3428,0.0083,0.0000,0.0001,0.3343,0.0000,200,0.0094
0.3688,0.0190,0.0000,0.0001,0.3496,0.0001,200,0.0070
0.3822,0.0110,0.0000,0.0001,0.3709,0.0001,200,0.0068
0.3947,0.0094,0.0000,0.0001,0.3849,0.0001,200,0.0072
0.4122,0.0131,0.0000,0.0001,0.3983,0.0001,200,0.0044
0.4204,0.0117,0.0000,0.0001,0.4084,0.0001,200,0.0073
0.4371,0.0140,0.0000,0.0001,0.4223,0.0001,200,0.0044
0.4398,0.0158,0.0000,0.0001,0.4238,0.0001,200,0.0065
0.4717,0.0225,0.0000,0.0001,0.4491,0.0001,200,0.0099
0.4760,0.0164,0.0000,0.0001,0.4593,0.0001,200,0.0058
0.4955,0.0042,0.0000,0.0007,0.4905,0.0001,200,0.0068
0.5244,0.0107,0.0000,0.0001,0.5135,0.0001,200,0.0071
0.5282,0.0118,0.0000,0.0001,0.5162,0.0001,200,0.0058
0.5512,0.0120,0.0000,0.0002,0.5383,0.0001,200,0.0043
0.5956,0.0175,0.0000,0.0000,0.5780,0.0001,200,0.0064
0.6015,0.0319,0.0000,0.0000,0.5695,0.0001,200,0.0060
0.6016,0.0173,0.0000,0.0001,0.5840,0.0000,200,0.0062
0.6042,0.0194,0.0000,0.0001,0.5847,0.0001,200,0.0064
0.6552,0.0178,0.0000,0.0001,0.6371,0.0001,200,0.0042
0.6614,0.0136,0.0000,0.0001,0.6477,0.0001,200,0.0059
0.6608,0.0296,0.0000,0.0002,0.6309,0.0001,200,0.0082
0.6751,0.0178,0.0000,0.0001,0.6563,0.0008,200,0.0042
0.6743,0.0131,0.0000,0.0001,0.6610,0.0001,200,0.0056
0.7139,0.0126,0.0000,0.0001,0.7008,0.0004,200,0.0052
0.7667,0.0087,0.0000,0.0001,0.7557,0.0001,200,0.0071
0.8032,0.0189,0.0000,0.0002,0.7840,0.0001,200,0.0047
0.8062,0.0327,0.0000,0.0001,0.7732,0.0002,200,0.0050
0.8054,0.0175,0.0000,0.0001,0.7876,0.0001,200,0.0061
0.8071,0.0327,0.0000,0.0001,0.7741,0.0001,200,0.0049
0.8407,0.0388,0.0000,0.0002,0.8015,0.0001,200,0.0052
0.7447,0.0000,0.0000,0.0000,0.7446,0.0001,200,0.1233
0.8667,0.0327,0.0000,0.0001,0.8338,0.0001,200,0.0053
0.8669,0.0327,0.0000,0.0001,0.8340,0.0001,200,0.0052
0.7840,0.0000,0.0000,0.0000,0.7834,0.0005,200,0.1233
0.8249,0.0000,0.0000,0.0000,0.8248,0.0001,200,0.1105
0.8260,0.0000,0.0000,0.0000,0.8258,0.0001,200,0.1117
0.7967,0.0000,0.0000,0.0000,0.7966,0.0000,200,0.1417
0.8097,0.0000,0.0000,0.0000,0.8095,0.0001,200,0.1419
0.8267,0.0000,0.0000,0.0000,0.8266,0.0001,200,0.1468
0.8070,0.0000,0.0000,0.0000,0.8069,0.0001,200,0.2194
0.8345,0.0000,0.0000,0.0000,0.8344,0.0001,200,0.1921
0.8266,0.0000,0.0000,0.0000,0.8263,0.0002,200,0.2088
0.8217,0.0000,0.0000,0.0000,0.8216,0.0001,200,0.2290
0.8476,0.0000,0.0000,0.0000,0.8475,0.0001,200,0.2416
0.8167,0.0000,0.0000,0.0000,0.8165,0.0002,200,0.2884
0.7884,0.0000,0.0000,0.0000,0.7883,0.0001,200,0.3181
0.8194,0.0000,0.0000,0.0000,0.8193,0.0000,200,0.2881
0.7739,0.0000,0.0000,0.0000,0.7737,0.0001,200,0.3456
0.8481,0.0000,0.0000,0.0002,0.8478,0.0001,200,0.3517
0.8563,0.0000,0.0000,0.0000,0.8562,0.0001,200,0.3453
0.8326,0.0000,0.0000,0.0000,0.8325,0.0001,200,0.3890
0.8705,0.0000,0.0000,0.0000,0.8704,0.0000,200,0.3522
0.8491,0.0000,0.0000,0.0000,0.8489,0.0001,200,0.3758
0.8550,0.0000,0.0000,0.0000,0.8548,0.0001,200,0.4018
0.8514,0.0000,0.0000,0.0000,0.8509,0.0004,200,0.4277
0.8628,0.0000,0.0000,0.0000,0.8627,0.0000,200,0.4166
0.8401,0.0000,0.0000,0.0000,0.8399,0.0001,200,0.4415
0.8665,0.0000,0.0000,0.0000,0.8663,0.0001,200,0.4464
0.8380,0.0000,0.0000,0.0001,0.8378,0.0001,200,0.4818
0.8392,0.0000,0.0000,0.0000,0.8390,0.0001,200,0.4816
0.8230,0.0000,0.0000,0.0000,0.8228,0.0001,200,0.5023
0.7931,0.0000,0.0000,0.0000,0.7930,0.0001,200,0.5340
0.8425,0.0000,0.0000,0.0000,0.8423,0.0001,200,0.5315
0.8297,0.0000,0.0000,0.0001,0.8295,0.0001,200,0.5555
0.7959,0.0000,0.0000,0.0000,0.7957,0.0001,200,0.6020
0.8007,0.0000,0.0000,0.0000,0.8006,0.0001,200,0.6078
0.8048,0.0000,0.0000,0.0001,0.8046,0.0001,200,0.6076
0.7798,0.0000,0.0000,0.0000,0.7793,0.0004,200,0.6673
0.8459,0.0000,0.0000,0.0002,0.8455,0.0001,200,0.6107
0.7905,0.0000,0.0000,0.0000,0.7904,0.0001,200,0.6690
0.8126,0.0000,0.0000,0.0000,0.8124,0.0001,200,0.6594
0.8086,0.0000,0.0000,0.0000,0.8084,0.0001,200,0.6793
0.8405,0.0000,0.0000,0.0000,0.8404,0.0001,200,0.6799
0.8103,0.0000,0.0000,0.0000,0.8101,0.0002,200,0.7191
0.7296,0.0000,0.0000,0.0000,0.7293,0.0002,200,0.8078
0.7437,0.0000,0.0000,0.0000,0.7433,0.0004,200,0.8115
0.7950,0.0000,0.0000,0.0000,0.7948,0.0001,200,0.7739
0.7848,0.0000,0.0000,0.0000,0.7847,0.0001,200,0.8121
0.8286,0.0000,0.0000,0.0001,0.8283,0.0001,200,0.8112
0.7885,0.0000,0.0000,0.0000,0.7883,0.0002,200,0.8680
0.8132,0.0000,0.0000,0.0000,0.8127,0.0004,200,0.8458
0.7928,0.0000,0.0000,0.0000,0.7927,0.0001,200,0.8722
0.8093,0.0000,0.0000,0.0000,0.8091,0.0001,200,0.8720
0.7753,0.0000,0.0000,0.0000,0.7752,0.0001,200,0.9073
0.7535,0.0000,0.0000,0.0000,0.7534,0.0001,200,0.9377
0.7568,0.0000,0.0000,0.0000,0.7566,0.0002,200,0.9354
0.7628,0.0000,0.0000,0.0002,0.7625,0.0001,200,0.9384
0.8028,0.0000,0.0000,0.0001,0.8026,0.0001,200,0.9516
0.8025,0.0000,0.0000,0.0000,0.8024,0.0001,200,0.9736
0.7456,0.0000,0.0000,0.0000,0.7455,0.0001,200,1.0354
0.7571,0.0000,0.0000,0.0000,0.7569,0.0001,200,1.0266
0.7573,0.0000,0.0000,0.0000,0.7572,0.0001,200,1.0265
0.7560,0.0000,0.0000,0.0000,0.7558,0.0001,200,1.0507
0.7264,0.0000,0.0000,0.0000,0.7263,0.0001,200,1.0892
0.7396,0.0000,0.0000,0.0000,0.7394,0.0001,200,1.1051
0.7536,0.0000,0.0000,0.0000,0.7534,0.0001,200,1.1065
0.7537,0.0000,0.0000,0.0000,0.7536,0.0001,200,1.1075
0.7612,0.0000,0.0000,0.0000,0.7610,0.0002,200,1.1195
0.7102,0.0000,0.0000,0.0000,0.7100,0.0001,200,1.1998
0.7243,0.0000,0.0000,0.0000,0.7242,0.0001,200,1.2017
0.7143,0.0000,0.0000,0.0000,0.7138,0.0004,200,1.2249
0.7195,0.0000,0.0000,0.0000,0.7194,0.0001,200,1.2227
0.7449,0.0000,0.0000,0.0000,0.7447,0.0001,200,1.2216
0.7173,0.0000,0.0000,0.0001,0.7171,0.0001,200,1.2569
0.7120,0.0000,0.0000,0.0000,0.7118,0.0001,200,1.2816
0.7349,0.0000,0.0000,0.0000,0.7348,0.0001,200,1.2794
0.7148,0.0000,0.0000,0.0000,0.7146,0.0001,200,1.3128
0.7487,0.0000,0.0000,0.0001,0.7484,0.0002,200,1.2792
0.7445,0.0000,0.0000,0.0000,0.7444,0.0001,200,1.3208
0.7488,0.0000,0.0000,0.0000,0.7486,0.0001,200,1.3198
0.7611,0.0000,0.0000,0.0001,0.7609,0.0001,200,1.3253
0.7212,0.0000,0.0000,0.0000,0.7211,0.0001,200,1.3739
0.7689,0.0000,0.0000,0.0000,0.7688,0.0000,200,1.3271
0.7254,0.0000,0.0000,0.0000,0.7252,0.0001,200,1.3852
0.7313,0.0000,0.0000,0.0000,0.7311,0.0002,200,1.3979
0.7708,0.0000,0.0000,0.0000,0.7704,0.0002,200,1.4085
0.7731,0.0000,0.0000,0.0000,0.7729,0.0001,200,1.4124
0.7424,0.0000,0.0000,0.0000,0.7422,0.0002,200,1.4472
0.7469,0.0000,0.0000,0.0000,0.7467,0.0001,200,1.4566
0.7448,0.0000,0.0000,0.0000,0.7446,0.0001,200,1.4595
0.7415,0.0000,0.0000,0.0000,0.7413,0.0001,200,1.4720
0.7576,0.0000,0.0000,0.0000,0.7574,0.0001,200,1.4879
0.7401,0.0000,0.0000,0.0000,0.7399,0.0001,200,1.5205
0.7673,0.0000,0.0000,0.0000,0.7671,0.0001,200,1.5295
0.7594,0.0000,0.0000,0.0000,0.7593,0.0001,200,1.5374
0.7530,0.0000,0.0000,0.0000,0.7528,0.0001,200,1.5552
0.7431,0.0000,0.0000,0.0000,0.7430,0.0001,200,1.5688
0.7389,0.0000,0.0000,0.0000,0.7388,0.0001,200,1.5969
0.7119,0.0000,0.0000,0.0001,0.7117,0.0001,200,1.6398
0.7032,0.0000,0.0000,0.0001,0.7029,0.0002,200,1.6565
0.7334,0.0000,0.0000,0.0001,0.7331,0.0001,200,1.6590
0.7555,0.0000,0.0000,0.0000,0.7553,0.0001,200,1.6650
0.7380,0.0000,0.0000,0.0001,0.7378,0.0001,200,1.6826
0.7444,0.0000,0.0000,0.0000,0.7441,0.0001,200,1.6812
0.7380,0.0000,0.0000,0.0000,0.7378,0.0001,200,1.6912
0.7857,0.0000,0.0000,0.0000,0.7855,0.0001,200,1.6922
0.7309,0.0000,0.0000,0.0000,0.7308,0.0001,200,1.7544
0.7845,0.0000,0.0000,0.0000,0.7843,0.0001,200,1.7012
0.7162,0.0000,0.0000,0.0000,0.7161,0.0001,200,1.7761
0.7323,0.0000,0.0000,0.0000,0.7321,0.0001,200,1.7810
0.7725,0.0000,0.0000,0.0000,0.7724,0.0001,200,1.7838
0.7509,0.0000,0.0000,0.0000,0.7506,0.0002,200,1.8157
0.7834,0.0000,0.0000,0.0000,0.7830,0.0003,200,1.7837
0.7616,0.0000,0.0000,0.0000,0.7615,0.0000,200,1.8067
0.7389,0.0000,0.0000,0.0000,0.7387,0.0001,200,1.8448
0.7543,0.0000,0.0000,0.0000,0.7541,0.0001,200,1.8601
0.7704,0.0000,0.0000,0.0000,0.7702,0.0001,200,1.8612
0.7722,0.0000,0.0000,0.0000,0.7719,0.0001,200,1.8808
0.7611,0.0000,0.0000,0.0001,0.7604,0.0003,200,1.9100
0.7329,0.0000,0.0000,0.0001,0.7325,0.0004,200,1.9422
0.7467,0.0000,0.0000,0.0001,0.7463,0.0002,200,1.9392
0.7750,0.0000,0.0000,0.0000,0.7748,0.0001,200,1.9260
0.7515,0.0000,0.0000,0.0000,0.7513,0.0001,200,1.9665
0.8500,0.0000,0.0000,0.0000,0.8498,0.0001,200,1.9742
0.8470,0.0000,0.0000,0.0000,0.8469,0.0001,200,1.9935
0.8276,0.0000,0.0000,0.0000,0.8275,0.0001,200,2.0143
0.8178,0.0000,0.0000,0.0000,0.8177,0.0001,200,2.0276
0.7889,0.0000,0.0000,0.0000,0.7888,0.0001,200,2.0686
0.8332,0.0000,0.0000,0.0000,0.8331,0.0001,200,2.0279
0.8278,0.0000,0.0000,0.0000,0.8276,0.0001,200,2.0653
0.8101,0.0000,0.0000,0.0000,0.8100,0.0001,200,2.0961
0.8245,0.0000,0.0000,0.0001,0.8241,0.0002,200,2.0951
0.8482,0.0000,0.0000,0.0000,0.8481,0.0001,200,2.0864
0.7662,0.0000,0.0000,0.0000,0.7660,0.0001,200,2.1793
0.8353,0.0000,0.0000,0.0000,0.8352,0.0000,200,2.1106
0.8348,0.0000,0.0000,0.0000,0.8346,0.0001,200,2.1293
