response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2393,0.0573,0.0000,0.0041,0.1775,0.0003,200,0.0512
0.2455,0.0557,0.0000,0.0016,0.1879,0.0002,200,0.0578
0.3142,0.0572,0.0000,0.0031,0.2538,0.0001,200,0.0497
0.3456,0.0679,0.0000,0.0004,0.2773,0.0001,200,0.0531
0.3375,0.0592,0.0000,0.0002,0.2778,0.0003,200,0.0633
0.6438,0.0639,0.0000,0.0016,0.5781,0.0002,200,0.0575
0.6522,0.0571,0.0000,0.0019,0.5930,0.0001,200,0.0512
0.5794,0.0382,0.0000,0.0001,0.5410,0.0001,200,0.1244
0.6521,0.0686,0.0000,0.0010,0.5823,0.0001,200,0.0526
0.6476,0.0729,0.0000,0.0001,0.5742,0.0002,200,0.0577
0.8261,0.1163,0.0000,0.0003,0.7079,0.0001,200,0.0542
0.8313,0.0622,0.0000,0.0024,0.7658,0.0001,200,0.0499
0.8543,0.0987,0.0000,0.0009,0.7538,0.0009,200,0.0522
0.8603,0.1030,0.0000,0.0003,0.7567,0.0001,200,0.0492
0.9402,0.1098,0.0000,0.0001,0.8301,0.0001,200,0.0213
1.0052,0.0731,0.0000,0.0002,0.9318,0.0001,200,0.0639
1.0236,0.0918,0.0000,0.0003,0.9313,0.0002,200,0.0457
1.0513,0.0936,0.0000,0.0002,0.9504,0.0001,200,0.0315
1.0632,0.1101,0.0000,0.0001,0.9529,0.0001,200,0.0488
1.0238,0.1295,0.0000,0.0001,0.8939,0.0001,200,0.1076
1.1926,0.1082,0.0000,0.0006,1.0836,0.0001,200,0.0560
1.2000,0.0655,0.0000,0.0002,1.1342,0.0001,200,0.0641
1.2891,0.0932,0.0000,0.0044,1.1896,0.0001,200,0.0187
1.2763,0.1834,0.0000,0.0002,1.0920,0.0002,200,0.0466
1.3595,0.0949,0.0000,0.0013,1.2612,0.0001,200,0.0180
1.3161,0.0383,0.0000,0.0001,1.2775,0.0002,200,0.1246
1.3801,0.1339,0.0000,0.0004,1.2457,0.0001,200,0.1071
1.4049,0.1363,0.0000,0.0002,1.2682,0.0002,200,0.1071
1.4769,0.0564,0.0000,0.0001,1.4202,0.0001,200,0.1083
1.5144,0.0174,0.0000,0.0001,1.4968,0.0001,200,0.1217
1.6951,0.0442,0.0000,0.0530,1.5962,0.0001,200,0.0187
1.6118,0.0374,0.0000,0.0009,1.5732,0.0003,200,0.1243
1.6869,0.1029,0.0000,0.0001,1.5837,0.0001,200,0.0497
1.7426,0.1146,0.0000,0.0002,1.6276,0.0002,200,0.0505
1.7442,0.0514,0.0000,0.0002,1.6924,0.0002,200,0.1247
1.8814,0.0766,0.0000,0.0003,1.8043,0.0001,200,0.0583
1.8326,0.0357,0.0000,0.0003,1.7959,0.0003,200,0.1211
1.9271,0.0870,0.0000,0.0006,1.8391,0.0004,200,0.0346
2.0152,0.0843,0.0000,0.0039,1.9154,0.0002,200,0.0205
2.0883,0.1008,0.0000,0.0001,1.9870,0.0002,200,0.0409
2.1204,0.0659,0.0000,0.0006,2.0537,0.0002,200,0.0637
2.1412,0.0722,0.0000,0.0006,2.0681,0.0001,200,0.0518
2.1602,0.0784,0.0000,0.0001,2.0813,0.0001,200,0.0507
2.1351,0.0000,0.0000,0.0002,1.8936,0.0001,200,0.1090
2.3136,0.2343,0.0000,0.0001,2.0789,0.0002,200,0.1108
2.4282,0.0709,0.0000,0.0002,2.3570,0.0001,200,0.0523
2.4033,0.0000,0.0000,0.0001,2.1568,0.0001,200,0.0786
2.2770,0.0000,0.0000,0.0000,2.2768,0.0001,200,0.3639
2.5864,0.1088,0.0000,0.0001,2.4773,0.0001,200,0.0565
2.7498,0.2122,0.0000,0.0002,2.5372,0.0001,200,0.0635
2.7629,0.0697,0.0000,0.0006,2.6914,0.0011,200,0.0519
2.8012,0.2080,0.0000,0.0001,2.5926,0.0005,200,0.0491
2.8070,0.2375,0.0000,0.0001,2.5692,0.0002,200,0.0982
2.5206,0.0000,0.0000,0.0000,2.5204,0.0002,200,0.3988
2.9126,0.2398,0.0000,0.0001,2.6725,0.0001,200,0.0970
2.9822,0.2327,0.0000,0.0002,2.7208,0.0006,200,0.0644
2.9725,0.2175,0.0000,0.0002,2.7546,0.0001,200,0.0953
2.6992,0.0000,0.0000,0.0000,2.6990,0.0001,200,0.4008
3.0396,0.2271,0.0000,0.0008,2.8060,0.0001,200,0.0930
3.1165,0.0000,0.0000,0.0001,2.8770,0.0001,200,0.0959
3.2402,0.0714,0.0000,0.0003,3.1682,0.0001,200,0.0510
3.2352,0.1122,0.0000,0.0002,3.1227,0.0001,200,0.0567
3.2632,0.0687,0.0000,0.0002,3.1941,0.0001,200,0.0522
3.2575,0.0640,0.0000,0.0001,3.1931,0.0001,200,0.0631
3.3586,0.1135,0.0000,0.0004,3.2445,0.0002,200,0.0490
3.3917,0.1597,0.0000,0.0001,3.2318,0.0001,200,0.0977
3.4032,0.0371,0.0000,0.0003,3.3655,0.0003,200,0.1203
3.4351,0.0000,0.0000,0.0001,3.1950,0.0001,200,0.0965
3.4824,0.1226,0.0000,0.0001,3.3594,0.0001,200,0.0572
3.5924,0.0846,0.0000,0.0001,3.5075,0.0001,200,0.0428
3.5815,0.1250,0.0000,0.0001,3.4563,0.0001,200,0.0564
3.6528,0.0577,0.0000,0.0001,3.5947,0.0001,200,0.1190
3.7371,0.1135,0.0000,0.0001,3.6234,0.0001,200,0.0493
3.7593,0.1008,0.0000,0.0002,3.6582,0.0001,200,0.0565
3.8428,0.1201,0.0000,0.0002,3.7223,0.0001,200,0.0526
3.7738,0.0561,0.0000,0.0002,3.7174,0.0001,200,0.1230
3.9729,0.1172,0.0000,0.0001,3.8553,0.0001,200,0.0558
3.9156,0.0590,0.0000,0.0002,3.8563,0.0001,200,0.1138
3.9518,0.0600,0.0000,0.0001,3.8914,0.0001,200,0.1132
4.0573,0.0653,0.0000,0.0002,3.9916,0.0001,200,0.1092
4.1557,0.0969,0.0000,0.0002,4.0182,0.0001,200,0.0726
